"",BBK01.OEAD32Q,BBK01.OEAD32Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:25,
2002-01,0.173,
2002-04,0.170,
2002-07,0.173,
2002-10,0.165,
2003-01,0.163,
2003-04,0.168,
2003-07,0.172,
2003-10,0.152,
2004-01,0.152,
2004-04,0.110,
2004-07,0.100,
2004-10,0.104,
2005-01,0.092,
2005-04,0.090,
2005-07,0.085,
2005-10,0.084,
2006-01,0.090,
2006-04,0.093,
2006-07,0.091,
2006-10,0.117,
2007-01,0.201,
2007-04,0.226,
2007-07,0.261,
2007-10,0.256,
2008-01,0.124,
2008-04,0.127,
2008-07,0.127,
2008-10,0.132,
2009-01,0.143,
2009-04,0.137,
2009-07,0.142,
2009-10,0.142,
2010-01,0.156,
2010-04,0.154,
2010-07,0.106,
2010-10,0.095,
2011-01,0.104,
2011-04,0.099,
2011-07,0.100,
2011-10,0.100,
2012-01,0.090,
2012-04,0.135,
2012-07,0.138,
2012-10,0.104,
2013-01,0.099,
2013-04,0.087,
2013-07,0.105,
2013-10,0.107,
2014-01,0.116,
2014-04,0.121,
2014-07,0.118,
