"",BBK01.WT4120,BBK01.WT4120_FLAGS
"","DE0001137347 / Yields / 1,750 BSA 11",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 12:35:17,
2011-05-11,1.80,
2011-05-12,1.76,
2011-05-13,1.80,
2011-05-14,.,No value available
2011-05-15,.,No value available
2011-05-16,1.78,
2011-05-17,1.83,
2011-05-18,1.80,
2011-05-19,1.83,
2011-05-20,1.83,
2011-05-21,.,No value available
2011-05-22,.,No value available
2011-05-23,1.70,
2011-05-24,1.71,
2011-05-25,1.66,
2011-05-26,1.67,
2011-05-27,1.58,
2011-05-28,.,No value available
2011-05-29,.,No value available
2011-05-30,1.58,
2011-05-31,1.65,
2011-06-01,1.63,
2011-06-02,1.62,
2011-06-03,1.66,
2011-06-04,.,No value available
2011-06-05,.,No value available
2011-06-06,1.67,
2011-06-07,1.67,
2011-06-08,1.69,
2011-06-09,1.66,
2011-06-10,1.58,
2011-06-11,.,No value available
2011-06-12,.,No value available
2011-06-13,1.52,
2011-06-14,1.54,
2011-06-15,1.58,
2011-06-16,1.43,
2011-06-17,1.47,
2011-06-18,.,No value available
2011-06-19,.,No value available
2011-06-20,1.47,
2011-06-21,1.50,
2011-06-22,1.51,
2011-06-23,1.46,
2011-06-24,1.39,
2011-06-25,.,No value available
2011-06-26,.,No value available
2011-06-27,1.38,
2011-06-28,1.39,
2011-06-29,1.52,
2011-06-30,1.56,
2011-07-01,1.64,
2011-07-02,.,No value available
2011-07-03,.,No value available
2011-07-04,1.65,
2011-07-05,1.63,
2011-07-06,1.56,
2011-07-07,1.58,
2011-07-08,1.56,
2011-07-09,.,No value available
2011-07-10,.,No value available
2011-07-11,1.40,
2011-07-12,1.20,
2011-07-13,1.28,
2011-07-14,1.27,
2011-07-15,1.22,
2011-07-16,.,No value available
2011-07-17,.,No value available
2011-07-18,1.20,
2011-07-19,1.24,
2011-07-20,1.29,
2011-07-21,1.32,
2011-07-22,1.43,
2011-07-23,.,No value available
2011-07-24,.,No value available
2011-07-25,1.36,
2011-07-26,1.33,
2011-07-27,1.30,
2011-07-28,1.25,
2011-07-29,1.21,
2011-07-30,.,No value available
2011-07-31,.,No value available
2011-08-01,1.20,
2011-08-02,1.04,
2011-08-03,1.08,
2011-08-04,1.07,
2011-08-05,0.86,
2011-08-06,.,No value available
2011-08-07,.,No value available
2011-08-08,0.79,
2011-08-09,0.72,
2011-08-10,0.72,
2011-08-11,0.61,
2011-08-12,0.70,
2011-08-13,.,No value available
2011-08-14,.,No value available
2011-08-15,0.72,
2011-08-16,0.70,
2011-08-17,0.71,
2011-08-18,0.61,
2011-08-19,0.59,
2011-08-20,.,No value available
2011-08-21,.,No value available
2011-08-22,0.65,
2011-08-23,0.63,
2011-08-24,0.64,
2011-08-25,0.72,
2011-08-26,0.63,
2011-08-27,.,No value available
2011-08-28,.,No value available
2011-08-29,0.64,
2011-08-30,0.67,
2011-08-31,0.67,
2011-09-01,0.65,
2011-09-02,0.57,
2011-09-03,.,No value available
2011-09-04,.,No value available
2011-09-05,0.48,
2011-09-06,0.44,
2011-09-07,0.48,
2011-09-08,0.46,
2011-09-09,0.37,
2011-09-10,.,No value available
2011-09-11,.,No value available
2011-09-12,0.35,
2011-09-13,0.38,
2011-09-14,0.49,
2011-09-15,0.59,
2011-09-16,0.57,
2011-09-17,.,No value available
2011-09-18,.,No value available
2011-09-19,0.44,
2011-09-20,0.44,
2011-09-21,0.42,
2011-09-22,0.37,
2011-09-23,0.38,
2011-09-24,.,No value available
2011-09-25,.,No value available
2011-09-26,0.40,
2011-09-27,0.47,
2011-09-28,0.56,
2011-09-29,0.54,
2011-09-30,0.55,
2011-10-01,.,No value available
2011-10-02,.,No value available
2011-10-03,0.46,
2011-10-04,0.43,
2011-10-05,0.44,
2011-10-06,0.49,
2011-10-07,0.59,
2011-10-08,.,No value available
2011-10-09,.,No value available
2011-10-10,0.60,
2011-10-11,0.58,
2011-10-12,0.65,
2011-10-13,0.65,
2011-10-14,0.64,
2011-10-15,.,No value available
2011-10-16,.,No value available
2011-10-17,0.64,
2011-10-18,0.52,
2011-10-19,0.60,
2011-10-20,0.60,
2011-10-21,0.57,
2011-10-22,.,No value available
2011-10-23,.,No value available
2011-10-24,0.58,
2011-10-25,0.62,
2011-10-26,0.52,
2011-10-27,0.53,
2011-10-28,0.67,
2011-10-29,.,No value available
2011-10-30,.,No value available
2011-10-31,0.55,
2011-11-01,0.44,
2011-11-02,0.42,
2011-11-03,0.41,
2011-11-04,0.38,
2011-11-05,.,No value available
2011-11-06,.,No value available
2011-11-07,0.36,
2011-11-08,0.39,
2011-11-09,0.36,
2011-11-10,0.36,
2011-11-11,0.34,
2011-11-12,.,No value available
2011-11-13,.,No value available
2011-11-14,0.33,
2011-11-15,0.29,
2011-11-16,0.35,
2011-11-17,0.30,
2011-11-18,0.38,
2011-11-19,.,No value available
2011-11-20,.,No value available
2011-11-21,0.34,
2011-11-22,0.34,
2011-11-23,0.36,
2011-11-24,0.44,
2011-11-25,0.40,
