"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.AT.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.AT.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:56,
2009-09,2205,
2009-10,2215,
2009-11,2315,
2009-12,2284,
2010-01,2344,
2010-02,2453,
2010-03,2512,
2010-04,2540,
2010-05,2514,
2010-06,2660,
2010-07,2577,
2010-08,2598,
2010-09,2625,
2010-10,2554,
2010-11,2519,
2010-12,2548,
2011-01,2483,
2011-02,2455,
2011-03,2338,
2011-04,2379,
2011-05,2382,
2011-06,2413,
2011-07,2449,
2011-08,2304,
2011-09,2260,
2011-10,2276,
2011-11,2084,
2011-12,2081,
2012-01,2117,
2012-02,2133,
2012-03,2132,
2012-04,2125,
2012-05,2150,
2012-06,2128,
2012-07,2086,
2012-08,2075,
2012-09,2126,
2012-10,2172,
2012-11,2187,
2012-12,2258,
2013-01,2302,
2013-02,2311,
2013-03,2258,
2013-04,2307,
2013-05,2273,
2013-06,2188,
2013-07,2260,
2013-08,2271,
2013-09,2275,
2013-10,2273,
2013-11,2334,
2013-12,2284,
2014-01,2349,
2014-02,2341,
2014-03,2194,
2014-04,2211,
2014-05,2348,
2014-06,2338,
2014-07,2221,
2014-08,2201,
2014-09,2155,
2014-10,2239,
2014-11,2304,
