"",BBFB1.Q.N.DE.I7.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:52,
1999-01,1710.947,
1999-04,1975.528,
1999-07,2366.541,
1999-10,2067.262,
2000-01,1905.993,
2000-04,2213.199,
2000-07,2564.383,
2000-10,2300.399,
2001-01,2061.558,
2001-04,2298.159,
2001-07,2653.656,
2001-10,2342.900,
2002-01,1956.019,
2002-04,2298.120,
2002-07,2726.044,
2002-10,2435.491,
2003-01,2052.756,
2003-04,2423.130,
2003-07,2815.729,
2003-10,2500.407,
2004-01,2253.628,
2004-04,2584.224,
2004-07,3015.853,
2004-10,2702.025,
2005-01,2384.275,
2005-04,2830.394,
2005-07,3165.566,
2005-10,2803.387,
2006-01,2483.295,
2006-04,3273.164,
2006-07,3639.901,
2006-10,3158.802,
2007-01,2673.090,
2007-04,3176.166,
2007-07,3802.116,
2007-10,3241.219,
2008-01,2732.229,
2008-04,3319.301,
2008-07,3829.909,
2008-10,3286.762,
2009-01,2515.026,
2009-04,3089.538,
2009-07,3628.663,
2009-10,3078.378,
2010-01,2546.011,
2010-04,3143.914,
2010-07,3782.093,
2010-10,3110.400,
2011-01,2662.432,
2011-04,3181.745,
2011-07,3861.912,
2011-10,3169.493,
2012-01,2708.640,
2012-04,3177.093,
2012-07,3857.366,
2012-10,3176.644,
2013-01,2837.615,
2013-04,3277.979,
2013-07,3953.651,
2013-10,3289.334,
2014-01,2837.363,Provisional value
2014-04,3419.446,Provisional value
2014-07,4058.136,Provisional value
2014-10,3338.758,Provisional value
