"",BBK01.OEAK06L,BBK01.OEAK06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:38,
2002-01,0.382,
2002-04,0.386,
2002-07,0.382,
2002-10,0.366,
2003-01,0.372,
2003-04,0.354,
2003-07,0.339,
2003-10,0.342,
2004-01,0.355,
2004-04,0.353,
2004-07,0.339,
2004-10,0.331,
2005-01,0.312,
2005-04,0.303,
2005-07,0.297,
2005-10,0.302,
2006-01,0.311,
2006-04,0.324,
2006-07,0.361,
2006-10,0.391,
2007-01,0.444,
2007-04,0.498,
2007-07,0.542,
2007-10,0.614,
2008-01,0.634,
2008-04,0.673,
2008-07,0.720,
2008-10,0.770,
2009-01,0.661,
2009-04,0.566,
2009-07,0.499,
2009-10,0.435,
2010-01,0.415,
2010-04,0.429,
2010-07,0.425,
2010-10,0.441,
2011-01,0.458,
2011-04,0.495,
2011-07,0.493,
2011-10,0.526,
2012-01,0.515,
2012-04,0.494,
2012-07,0.447,
2012-10,0.432,
2013-01,0.388,
2013-04,0.355,
2013-07,0.339,
2013-10,0.339,
2014-01,0.336,
2014-04,0.328,
2014-07,0.343,
