"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U9.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U9.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / All areas other than EU and ref./home area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:28,
2009-09,10316,
2009-10,10082,
2009-11,10218,
2009-12,10178,
2010-01,10392,
2010-02,10301,
2010-03,10742,
2010-04,10848,
2010-05,11350,
2010-06,11586,
2010-07,11490,
2010-08,11796,
2010-09,11735,
2010-10,11637,
2010-11,11622,
2010-12,11566,
2011-01,11631,
2011-02,11781,
2011-03,11215,
2011-04,11016,
2011-05,11020,
2011-06,10619,
2011-07,10654,
2011-08,10272,
2011-09,9922,
2011-10,10398,
2011-11,9628,
2011-12,9817,
2012-01,10176,
2012-02,10274,
2012-03,10343,
2012-04,10480,
2012-05,10872,
2012-06,10941,
2012-07,11374,
2012-08,11558,
2012-09,11645,
2012-10,11493,
2012-11,11804,
2012-12,11661,
2013-01,11550,
2013-02,11563,
2013-03,11588,
2013-04,11633,
2013-05,11474,
2013-06,11010,
2013-07,11055,
2013-08,11063,
2013-09,11033,
2013-10,11132,
2013-11,11100,
2013-12,10978,
2014-01,11094,
2014-02,11243,
2014-03,11283,
2014-04,11696,
2014-05,12059,
2014-06,12462,
2014-07,12744,
2014-08,12765,
2014-09,13256,
2014-10,13819,
2014-11,14451,
