"",BBK01.OEHI03M,BBK01.OEHI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:39,
2002-01,4.616,
2002-04,4.583,
2002-07,4.609,
2002-10,4.546,
2003-01,4.468,
2003-04,4.161,
2003-07,3.973,
2003-10,3.852,
2004-01,3.637,
2004-04,3.544,
2004-07,3.568,
2004-10,3.480,
2005-01,3.408,
2005-04,3.333,
2005-07,3.362,
2005-10,3.353,
2006-01,3.490,
2006-04,3.414,
2006-07,3.611,
2006-10,3.806,
2007-01,3.922,
2007-04,3.952,
2007-07,4.502,
2007-10,4.792,
2008-01,4.886,
2008-04,5.220,
2008-07,5.955,
2008-10,6.452,
2009-01,4.919,
2009-04,3.903,
2009-07,3.639,
2009-10,3.265,
2010-01,3.307,
2010-04,3.213,
2010-07,3.431,
2010-10,3.516,
2011-01,3.580,
2011-04,3.783,
2011-07,4.035,
2011-10,3.979,
2012-01,3.823,
2012-04,3.612,
2012-07,3.322,
2012-10,2.802,
2013-01,2.828,
2013-04,2.674,
2013-07,2.642,
2013-10,2.651,
2014-01,2.543,
2014-04,2.672,
2014-07,2.389,
