"",BBK01.CEFK30,BBK01.CEFK30_FLAGS
"",Other equity                                            debtor: MFI                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:56,
1999-01,117.6,
1999-04,119.3,
1999-07,121.5,
1999-10,124.2,
2000-01,129.6,
2000-04,132.4,
2000-07,133.3,
2000-10,134.8,
2001-01,133.2,
2001-04,136.5,
2001-07,137.3,
2001-10,142.5,
2002-01,143.7,
2002-04,146.5,
2002-07,154.1,
2002-10,154.9,
2003-01,148.2,
2003-04,150.6,
2003-07,151.9,
2003-10,145.8,
2004-01,143.5,
2004-04,146.8,
2004-07,147.4,
2004-10,147.1,
2005-01,148.0,
2005-04,152.5,
2005-07,156.4,
2005-10,157.8,
2006-01,173.8,
2006-04,177.5,
2006-07,179.8,
2006-10,179.2,
2007-01,173.7,
2007-04,177.3,
2007-07,183.2,
2007-10,182.3,
2008-01,186.2,
2008-04,188.1,
2008-07,189.0,
2008-10,192.8,
2009-01,197.9,
2009-04,200.7,
2009-07,201.6,
2009-10,203.1,
2010-01,202.7,
2010-04,201.2,
2010-07,202.1,
2010-10,204.3,
2011-01,206.6,
2011-04,209.9,
2011-07,211.9,
2011-10,212.9,
2012-01,213.8,
2012-04,217.9,
2012-07,220.5,
2012-10,236.4,
2013-01,238.6,
2013-04,238.2,
2013-07,237.2,
2013-10,236.4,
2014-01,236.6,
2014-04,237.7,
2014-07,238.5,
