"",BBEX3.M.BIF.EUR.CA.AC.A01,BBEX3.M.BIF.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Burundi / EUR 1 = BIF ... (middle),
unit,BIF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:06,
1999-01,586.03025,
1999-02,580.28500,
1999-03,574.32750,
1999-04,571.96680,
1999-05,569.67840,
1999-06,566.83275,
1999-07,572.25350,
1999-08,639.87680,
1999-09,647.84260,
1999-10,644.55225,
1999-11,633.72240,
1999-12,633.91980,
2000-01,629.54405,
2000-02,628.27590,
2000-03,622.53640,
2000-04,612.62930,
2000-05,617.82985,
2000-06,622.51420,
2000-07,740.67585,
2000-08,693.22095,
2000-09,706.68000,
2000-10,674.75965,
2000-11,714.59900,
2000-12,725.55475,
2001-01,716.47045,
2001-02,710.68540,
2001-03,695.41490,
2001-04,717.98500,
2001-05,766.91790,
2001-06,715.81130,
2001-07,740.44740,
2001-08,772.81220,
2001-09,782.71340,
2001-10,778.39470,
2001-11,762.79395,
2001-12,759.54535,
2002-01,749.39310,
2002-02,749.33400,
2002-03,661.67500,
2002-04,763.11220,
2002-05,764.11200,
2002-06,764.11200,
2002-07,869.89530,
2002-08,1044.59050,
2002-09,1053.53460,
2002-10,1055.72170,
2002-11,1057.00210,
2002-12,1104.42970,
2003-01,1159.29240,
2003-02,1161.95170,
2003-03,1162.11780,
2003-04,1187.11370,
2003-05,1268.27540,
2003-06,1240.32580,
2003-07,1236.15040,
2003-08,1234.13780,
2003-09,1258.07440,
2003-10,1262.05360,
2003-11,1290.23580,
2003-12,1375.48585,
2004-01,1366.64375,
2004-02,1391.28980,
2004-03,1343.54905,
2004-04,1314.07320,
2004-05,1333.43105,
2004-06,1333.36525,
2004-07,1331.83780,
2004-08,1331.79435,
2004-09,1358.99205,
2004-10,1405.86825,
2004-11,1440.88395,
2004-12,1512.48960,
2005-01,1466.13205,
2005-02,1514.57425,
2005-03,1479.48005,
2005-04,1441.01230,
2005-05,1359.59005,
2005-06,1318.13540,
2005-07,1304.11960,
2005-08,1291.76100,
2005-09,1249.74270,
2005-10,1225.55615,
2005-11,1176.30030,
2005-12,1185.26285,
2006-01,1212.45295,
2006-02,1195.34855,
2006-03,1236.41510,
2006-04,1278.71860,
2006-05,1326.30520,
2006-06,1306.88795,
2006-07,1310.56105,
2006-08,1345.36115,
2006-09,1342.73455,
2006-10,1345.85130,
2006-11,1383.88885,
2006-12,1320.60385,
2007-01,1347.07550,
2007-02,1389.40780,
2007-03,1390.17145,
2007-04,1427.43490,
2007-05,1427.94430,
2007-06,1465.84220,
2007-07,1501.30080,
2007-08,1510.12795,
2007-09,1570.93405,
2007-10,1638.18185,
2007-11,1686.88460,
2007-12,1650.81770,
2008-01,1720.40440,
2008-02,1764.50060,
2008-03,1862.59380,
2008-04,1827.25250,
2008-05,1832.80635,
2008-06,1886.41070,
2008-07,1853.72380,
2008-08,1737.49110,
2008-09,1719.49900,
2008-10,1593.23330,
2008-11,1595.70055,
2008-12,1724.34335,comment
2009-01,1588.25990,
2009-02,1566.89110,
2009-03,1634.21785,
2009-04,1629.76275,
2009-05,1697.94820,
2009-06,1736.19030,
2009-07,1738.45040,
2009-08,1758.24945,
2009-09,1799.60265,
2009-10,1827.29250,
2009-11,1851.41030,
2009-12,1767.92085,
2010-01,1713.14400,
2010-02,1671.69300,
2010-03,1658.47050,
2010-04,1628.46785,
2010-05,1515.72925,
2010-06,1504.40685,
2010-07,1608.78630,
2010-08,1564.16615,comment
2010-09,1671.00830,
2010-10,1709.01300,
2010-11,1614.63660,
2010-12,1639.44880,
2011-01,1680.21440,
2011-02,1700.67980,
2011-03,1750.93780,
2011-04,1840.15090,
2011-05,1783.40760,
2011-06,1802.49500,
2011-07,1788.13320,
2011-08,1817.44790,
2011-09,1718.70260,
2011-10,1809.47720,
2011-11,1776.18150,
2011-12,1761.30450,
2012-01,1827.90650,
2012-02,1896.98190,
2012-03,1869.57100,
2012-04,1856.30610,
2012-05,1749.01220,
2012-06,1811.67870,
2012-07,1801.53220,
2012-08,1841.60980,
2012-09,1910.15180,
2012-10,1926.80210,
2012-11,1965.25150,
2012-12,2041.04430,
2013-01,2151.65280,
2013-02,2259.09350,
2013-03,2015.28670,
2013-04,2034.68530,
2013-05,2008.02840,
2013-06,2007.34200,
2013-07,2038.11000,
2013-08,2038.23010,
2013-09,2077.81060,
2013-10,2110.61340,
2013-11,2098.01630,
2013-12,2127.94620,
2014-01,2090.65020,
2014-02,2115.46680,
2014-03,2123.84720,
2014-04,2133.44650,
2014-05,2102.82960,
2014-06,2109.88540,
2014-07,2073.07560,
2014-08,2039.43560,
2014-09,1966.21680,
2014-10,1950.56480,
2014-11,1929.46490,
2014-12,1888.19820,
2015-01,1760.97820,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since September 2010: Banque de Credit de Bujumbura, Bujumbura. 1999 - August 2010: Banque de la Republique du Burundi, Bujumbura.",
"",Comment on 2008-12: Exchange rate as of 23 December 2008.,
"",Comment on 2010-08: Exchange rate as of 26 August 2010.,
