"",BBEX3.A.DJF.USD.CA.AC.A04,BBEX3.A.DJF.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Djibouti / USD 1 = DJF ... (middle),
unit,DJF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:44,
1975,178.160,
1976,178.160,
1977,178.160,
1978,178.160,
1979,178.160,
1980,178.160,
1981,178.160,
1982,178.160,
1983,178.160,
1984,178.160,
1985,178.160,
1986,178.160,
1987,178.160,
1988,178.160,
1989,178.160,
1990,178.160,
1991,178.160,
1992,178.160,
1993,178.160,
1994,178.163,
1995,178.165,
1996,178.165,
1997,178.165,
1998,178.165,
1999,178.165,
2000,178.165,
2001,178.165,
2002,178.165,
2003,178.165,
2004,178.165,
2005,178.165,
2006,178.165,
2007,178.165,
2008,178.165,
2009,178.165,
2010,178.165,
2011,178.165,
2012,178.165,
2013,178.165,
2014,178.165,
"","Source: Banque pour le Commerce et l'Industrie, Mer Rouge, Djibouti.",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
