"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.IE.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.IE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:23,
2009-09,23374,
2009-10,24071,
2009-11,24445,
2009-12,25096,
2010-01,25981,
2010-02,26877,
2010-03,28063,
2010-04,27650,
2010-05,27761,
2010-06,27811,
2010-07,28754,
2010-08,29245,
2010-09,27926,
2010-10,28489,
2010-11,27487,
2010-12,27570,
2011-01,27840,
2011-02,27981,
2011-03,27759,
2011-04,27809,
2011-05,28093,
2011-06,28079,
2011-07,28269,
2011-08,26821,
2011-09,26928,
2011-10,26976,
2011-11,26564,
2011-12,26675,
2012-01,28304,
2012-02,28568,
2012-03,28666,
2012-04,29097,
2012-05,29046,
2012-06,29619,
2012-07,30882,
2012-08,31205,
2012-09,32268,
2012-10,32263,
2012-11,32887,
2012-12,34474,
2013-01,35220,
2013-02,37023,
2013-03,39028,
2013-04,39541,
2013-05,39421,
2013-06,37500,
2013-07,38146,
2013-08,37528,
2013-09,38640,
2013-10,40154,
2013-11,40649,
2013-12,40762,
2014-01,40968,
2014-02,41772,
2014-03,42131,
2014-04,42669,
2014-05,43588,
2014-06,44723,
2014-07,44840,
2014-08,46191,
2014-09,46409,
2014-10,46357,
2014-11,48057,
