"",BBK01.OECL07M,BBK01.OECL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:00,
2002-01,1.385,
2002-04,1.133,
2002-07,1.114,
2002-10,1.261,
2003-01,1.251,
2003-04,1.187,
2003-07,1.329,
2003-10,1.308,
2004-01,1.247,
2004-04,1.217,
2004-07,1.507,
2004-10,1.816,
2005-01,5.193,
2005-04,5.176,
2005-07,5.108,
2005-10,5.077,
2006-01,5.016,
2006-04,4.939,
2006-07,4.852,
2006-10,4.841,
2007-01,4.953,
2007-04,4.856,
2007-07,4.694,
2007-10,4.746,
2008-01,4.667,
2008-04,4.839,
2008-07,4.674,
2008-10,4.719,
2009-01,4.846,
2009-04,5.155,
2009-07,5.596,
2009-10,5.631,
2010-01,5.725,
2010-04,5.648,
2010-07,5.687,
2010-10,5.720,
2011-01,5.683,
2011-04,5.550,
2011-07,5.511,
2011-10,5.470,
2012-01,5.925,
2012-04,5.857,
2012-07,5.777,
2012-10,5.738,
2013-01,5.563,
2013-04,5.465,
2013-07,5.275,
2013-10,5.223,
2014-01,5.151,
2014-04,5.023,
2014-07,5.154,
