"",BBK01.OEYB12O,BBK01.OEYB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:42,
2002-01,7.400,
2002-04,7.313,
2002-07,8.041,
2002-10,7.939,
2003-01,7.846,
2003-04,7.858,
2003-07,7.767,
2003-10,10.156,
2004-01,10.074,
2004-04,10.461,
2004-07,10.530,
2004-10,10.639,
2005-01,10.673,
2005-04,11.281,
2005-07,11.379,
2005-10,11.492,
2006-01,11.318,
2006-04,11.223,
2006-07,11.097,
2006-10,11.165,
2007-01,10.641,
2007-04,10.774,
2007-07,10.443,
2007-10,10.471,
2008-01,10.431,
2008-04,10.452,
2008-07,8.764,
2008-10,8.130,
2009-01,7.634,
2009-04,7.310,
2009-07,7.237,
2009-10,8.302,
2010-01,8.336,
2010-04,8.573,
2010-07,8.388,
2010-10,8.253,
2011-01,8.049,
2011-04,8.086,
2011-07,7.983,
2011-10,7.886,
2012-01,8.143,
2012-04,8.254,
2012-07,7.756,
2012-10,7.697,
2013-01,7.568,
2013-04,7.314,
2013-07,10.636,
2013-10,11.417,
2014-01,11.936,
2014-04,11.677,
2014-07,11.345,
