"",BBK01.OEAE02V,BBK01.OEAE02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:32,
2002-01,6.525,
2002-04,6.512,
2002-07,6.636,
2002-10,6.593,
2003-01,6.430,
2003-04,6.419,
2003-07,6.461,
2003-10,6.483,
2004-01,6.426,
2004-04,6.473,
2004-07,6.641,
2004-10,6.464,
2005-01,6.402,
2005-04,6.418,
2005-07,6.447,
2005-10,6.545,
2006-01,6.481,
2006-04,6.395,
2006-07,6.126,
2006-10,6.124,
2007-01,5.971,
2007-04,5.902,
2007-07,5.876,
2007-10,5.974,
2008-01,5.876,
2008-04,5.670,
2008-07,5.708,
2008-10,5.835,
2009-01,6.554,
2009-04,7.923,
2009-07,7.842,
2009-10,8.740,
2010-01,8.228,
2010-04,8.127,
2010-07,6.867,
2010-10,6.867,
2011-01,7.179,
2011-04,7.143,
2011-07,7.243,
2011-10,7.216,
2012-01,7.133,
2012-04,7.090,
2012-07,7.098,
2012-10,7.095,
2013-01,7.114,
2013-04,7.172,
2013-07,7.233,
2013-10,7.382,
2014-01,7.387,
2014-04,7.223,
2014-07,7.283,
