"",BBK01.CEB02Q,BBK01.CEB02Q_FLAGS
"",Liabilities  (consolidated) debtor: Domestic financial corporations                           creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:35,
1991-01,2860.7,
1991-04,2913.1,
1991-07,2942.2,
1991-10,3033.5,
1992-01,3127.5,
1992-04,3168.6,
1992-07,3215.0,
1992-10,3312.0,
1993-01,3425.9,
1993-04,3501.9,
1993-07,3612.3,
1993-10,3815.8,
1994-01,3811.4,
1994-04,3839.3,
1994-07,3864.4,
1994-10,3979.9,
1995-01,4021.3,
1995-04,4139.3,
1995-07,4250.5,
1995-10,4404.2,
1996-01,4512.0,
1996-04,4596.5,
1996-07,4689.1,
1996-10,4862.8,
1997-01,5084.3,
1997-04,5234.5,
1997-07,5382.8,
1997-10,5533.8,
1998-01,5773.9,
1998-04,5992.6,
1998-07,5937.2,
1998-10,6210.5,
1999-01,6442.0,
1999-04,6540.9,
1999-07,6545.2,
1999-10,6941.3,
2000-01,7269.8,
2000-04,7270.9,
2000-07,7432.1,
2000-10,7449.3,
2001-01,7700.2,
2001-04,7725.6,
2001-07,7546.6,
2001-10,7675.6,
2002-01,7773.4,
2002-04,7713.3,
2002-07,7602.6,
2002-10,7599.5,
2003-01,7722.9,
2003-04,7914.2,
2003-07,7893.1,
2003-10,7920.2,
2004-01,8102.2,
2004-04,8061.8,
2004-07,8140.1,
2004-10,8218.0,
2005-01,8379.5,
2005-04,8563.6,
2005-07,8725.9,
2005-10,8734.8,
2006-01,8950.6,
2006-04,8955.2,
2006-07,9119.6,
2006-10,9188.1,
2007-01,9367.2,
2007-04,9506.8,
2007-07,9607.3,
2007-10,9642.3,
2008-01,9710.2,
2008-04,9669.2,
2008-07,9771.3,
2008-10,9679.4,
2009-01,9733.8,
2009-04,9769.9,
2009-07,9850.2,
2009-10,9870.1,
2010-01,10008.7,
2010-04,10227.6,
2010-07,10185.3,
2010-10,9998.4,
2011-01,9951.7,
2011-04,10036.0,
2011-07,10187.8,
2011-10,10171.3,
2012-01,10531.5,
2012-04,10651.5,
2012-07,10726.7,
2012-10,10665.2,
2013-01,10717.7,
2013-04,10728.1,
2013-07,10424.6,
2013-10,10391.2,
2014-01,10476.4,
