"",BBK01.OEAA12N,BBK01.OEAA12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:05,
2002-01,1.143,
2002-04,1.098,
2002-07,1.056,
2002-10,1.001,
2003-01,0.943,
2003-04,0.951,
2003-07,0.961,
2003-10,0.802,
2004-01,0.762,
2004-04,0.710,
2004-07,0.696,
2004-10,0.584,
2005-01,0.561,
2005-04,0.484,
2005-07,0.522,
2005-10,0.492,
2006-01,0.476,
2006-04,0.475,
2006-07,0.465,
2006-10,0.441,
2007-01,0.387,
2007-04,0.357,
2007-07,0.295,
2007-10,0.298,
2008-01,0.285,
2008-04,0.248,
2008-07,0.233,
2008-10,0.237,
2009-01,0.232,
2009-04,0.209,
2009-07,0.184,
2009-10,0.189,
2010-01,0.184,
2010-04,0.175,
2010-07,0.169,
2010-10,0.207,
2011-01,0.164,
2011-04,0.164,
2011-07,0.162,
2011-10,0.184,
2012-01,0.151,
2012-04,0.136,
2012-07,0.153,
2012-10,0.165,
2013-01,0.137,
2013-04,0.125,
2013-07,0.109,
2013-10,0.138,
2014-01,0.118,
2014-04,0.104,
2014-07,0.093,
