"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.LU.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.LU.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:28,
2009-09,38870,
2009-10,39669,
2009-11,40590,
2009-12,41821,
2010-01,42515,
2010-02,43392,
2010-03,46550,
2010-04,48519,
2010-05,47801,
2010-06,47690,
2010-07,49110,
2010-08,50490,
2010-09,50512,
2010-10,52440,
2010-11,53519,
2010-12,54276,
2011-01,55042,
2011-02,55706,
2011-03,54743,
2011-04,56260,
2011-05,56667,
2011-06,56509,
2011-07,57047,
2011-08,53920,
2011-09,53263,
2011-10,54727,
2011-11,54270,
2011-12,55277,
2012-01,57801,
2012-02,60485,
2012-03,62112,
2012-04,61770,
2012-05,61059,
2012-06,61688,
2012-07,64981,
2012-08,65659,
2012-09,66689,
2012-10,69603,
2012-11,70766,
2012-12,73738,
2013-01,75175,
2013-02,76748,
2013-03,78646,
2013-04,80193,
2013-05,81254,
2013-06,77617,
2013-07,80846,
2013-08,81495,
2013-09,83025,
2013-10,85003,
2013-11,85512,
2013-12,85508,
2014-01,86028,
2014-02,87804,
2014-03,89606,
2014-04,90549,
2014-05,92608,
2014-06,95451,
2014-07,97330,
2014-08,98055,
2014-09,97815,
2014-10,98810,
2014-11,100383,
