"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.EUR.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign non-banks arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:58,
1968-12,0.308,
1969-01,0.239,
1969-02,0.245,
1969-03,0.337,
1969-04,0.327,
1969-05,0.352,
1969-06,0.371,
1969-07,0.386,
1969-08,0.466,
1969-09,0.466,
1969-10,0.431,
1969-11,0.360,
1969-12,0.414,
1970-01,0.402,
1970-02,0.451,
1970-03,0.452,
1970-04,0.481,
1970-05,0.505,
1970-06,0.493,
1970-07,0.484,
1970-08,0.528,
1970-09,0.479,
1970-10,0.522,
1970-11,0.572,
1970-12,0.661,
1971-01,0.669,
1971-02,0.691,
1971-03,0.694,
1971-04,0.696,
1971-05,0.614,
1971-06,0.837,
1971-07,0.821,
1971-08,0.854,
1971-09,0.800,
1971-10,0.789,
1971-11,0.776,
1971-12,0.920,
1972-01,0.831,
1972-02,0.941,
1972-03,0.937,
1972-04,0.850,
1972-05,0.811,
1972-06,0.785,
1972-07,0.642,
1972-08,0.616,
1972-09,0.613,
1972-10,0.622,
1972-11,0.641,
1972-12,0.705,
1973-01,0.660,
1973-02,0.652,
1973-03,0.619,
1973-04,0.622,
1973-05,0.595,
1973-06,0.608,
1973-07,0.583,
1973-08,0.576,
1973-09,0.616,
1973-10,0.593,
1973-11,0.663,
1973-12,0.683,
1974-01,0.640,
1974-02,0.759,
1974-03,0.752,
1974-04,0.764,
1974-05,0.774,
1974-06,1.007,
1974-07,1.034,
1974-08,1.059,
1974-09,0.917,
1974-10,0.933,
1974-11,1.022,
1974-12,1.070,
1975-01,1.162,
1975-02,1.156,
1975-03,1.259,
1975-04,1.183,
1975-05,1.285,
1975-06,1.306,
1975-07,1.235,
1975-08,1.239,
1975-09,1.360,
1975-10,1.416,
1975-11,1.464,
1975-12,1.453,
1976-01,1.444,
1976-02,1.484,
1976-03,1.495,
1976-04,1.575,
1976-05,1.668,
1976-06,1.823,
1976-07,1.704,
1976-08,1.819,
1976-09,1.637,
1976-10,1.695,
1976-11,1.518,
1976-12,1.505,
1977-01,1.482,
1977-02,1.455,
1977-03,1.466,
1977-04,1.433,
1977-05,1.393,
1977-06,1.261,
1977-07,1.289,
1977-08,1.323,
1977-09,1.478,
1977-10,1.505,
1977-11,1.520,
1977-12,1.705,
1978-01,1.568,
1978-02,1.627,
1978-03,1.632,
1978-04,1.594,
1978-05,1.621,
1978-06,1.478,
1978-07,1.478,
1978-08,1.465,
1978-09,1.522,
1978-10,1.550,
1978-11,1.616,
1978-12,1.568,
1979-01,1.519,
1979-02,1.535,
1979-03,1.624,
1979-04,1.588,
1979-05,1.718,
1979-06,1.735,
1979-07,1.730,
1979-08,1.675,
1979-09,1.679,
1979-10,1.739,
1979-11,1.521,
1979-12,1.978,
1980-01,2.027,
1980-02,2.034,
1980-03,2.217,
1980-04,2.176,
1980-05,2.204,
1980-06,2.220,
1980-07,2.220,
1980-08,2.255,
1980-09,2.317,
1980-10,2.385,
1980-11,2.323,
1980-12,2.253,
1981-01,2.087,
1981-02,2.272,
1981-03,2.469,
1981-04,2.458,
1981-05,2.085,
1981-06,2.048,
1981-07,2.247,
1981-08,2.256,
1981-09,2.421,
1981-10,2.245,
1981-11,2.379,
1981-12,2.278,
1982-01,2.548,
1982-02,3.047,
1982-03,2.509,
1982-04,2.587,
1982-05,3.438,
1982-06,3.465,
1982-07,3.610,
1982-08,3.493,
1982-09,3.685,
1982-10,3.765,
1982-11,3.762,
1982-12,3.290,
1983-01,3.186,
1983-02,2.888,
1983-03,2.978,
1983-04,3.178,
1983-05,3.559,
1983-06,3.489,
1983-07,3.906,
1983-08,3.920,
1983-09,3.981,
1983-10,3.664,
1983-11,3.744,
1983-12,3.571,
1984-01,3.553,
1984-02,3.460,
1984-03,3.585,
1984-04,3.692,
1984-05,3.558,
1984-06,3.689,
1984-07,3.663,
1984-08,3.822,
1984-09,4.334,
1984-10,3.993,
1984-11,4.212,
1984-12,5.439,
1985-01,4.616,
1985-02,4.742,
1985-03,5.123,
1985-04,5.256,
1985-05,5.505,
1985-06,5.713,
1985-07,5.586,
1985-08,5.618,
1985-09,6.342,
1985-10,5.027,
1985-11,5.322,
1985-12,6.112,
1986-01,5.882,
1986-02,6.373,
1986-03,6.664,
1986-04,6.739,
1986-05,7.260,
1986-06,7.521,
1986-07,7.233,
1986-08,7.340,
1986-09,7.869,
1986-10,7.052,
1986-11,7.015,
1986-12,6.423,
1987-01,6.731,
1987-02,7.452,
1987-03,7.485,
1987-04,7.593,
1987-05,7.546,
1987-06,7.437,
1987-07,7.124,
1987-08,7.402,
1987-09,7.906,
1987-10,7.768,
1987-11,7.854,
1987-12,7.565,
1988-01,8.074,
1988-02,7.721,
1988-03,7.599,
1988-04,7.149,
1988-05,7.176,
1988-06,7.210,
1988-07,7.249,
1988-08,7.129,
1988-09,7.529,
1988-10,7.574,
1988-11,7.558,
1988-12,7.548,
1989-01,8.051,
1989-02,8.227,
1989-03,7.335,
1989-04,7.867,
1989-05,8.029,
1989-06,8.096,
1989-07,7.965,
1989-08,7.854,
1989-09,8.036,
1989-10,9.178,
1989-11,10.279,
1989-12,11.728,
1990-01,12.091,
1990-02,10.639,
1990-03,10.780,
1990-04,10.373,
1990-05,11.086,
1990-06,10.579,
1990-07,10.046,
1990-08,11.177,
1990-09,11.742,
1990-10,12.079,
1990-11,13.331,
1990-12,13.336,
1991-01,13.666,
1991-02,13.502,
1991-03,14.712,
1991-04,14.978,
1991-05,14.262,
1991-06,14.541,
1991-07,14.401,
1991-08,13.988,
1991-09,15.405,
1991-10,14.468,
1991-11,14.575,
1991-12,13.340,
1992-01,12.746,
1992-02,12.183,
1992-03,12.497,
1992-04,12.474,
1992-05,12.403,
1992-06,11.721,
1992-07,11.056,
1992-08,11.787,
1992-09,11.111,
1992-10,11.133,
1992-11,11.046,
1992-12,10.820,
1993-01,10.849,
1993-02,10.961,
1993-03,11.144,
1993-04,11.724,
1993-05,10.946,
1993-06,11.581,
1993-07,10.949,
1993-08,10.872,
1993-09,11.367,
1993-10,11.462,
1993-11,11.525,
1993-12,13.103,
1994-01,13.485,
1994-02,13.656,
1994-03,14.182,
1994-04,14.593,
1994-05,14.641,
1994-06,14.218,
1994-07,15.120,
1994-08,15.343,
1994-09,16.162,
1994-10,16.996,
1994-11,16.881,
1994-12,16.178,
1995-01,17.202,
1995-02,17.102,
1995-03,16.926,
1995-04,17.384,
1995-05,17.749,
1995-06,16.849,
1995-07,17.319,
1995-08,17.211,
1995-09,17.732,
1995-10,18.500,
1995-11,18.503,
1995-12,17.870,
1996-01,18.150,
1996-02,18.691,
1996-03,19.442,
1996-04,19.486,
1996-05,19.621,
1996-06,18.661,
1996-07,17.057,
1996-08,16.083,
1996-09,17.005,
1996-10,16.398,
1996-11,16.786,
1996-12,17.109,
1997-01,17.874,
1997-02,19.191,
1997-03,19.371,
1997-04,19.953,
1997-05,20.145,
1997-06,19.927,
1997-07,20.535,
1997-08,20.480,
1997-09,21.597,
1997-10,21.082,
1997-11,20.745,
1997-12,20.646,
1998-01,20.702,
1998-02,20.752,
1998-03,20.848,
1998-04,21.255,
1998-05,21.533,
1998-06,21.852,
1998-07,23.041,
1998-08,22.284,
1998-09,23.345,
1998-10,24.765,
1998-11,24.107,
1998-12,25.386,
1999-01,35.282,
1999-02,36.584,
1999-03,41.771,
1999-04,43.338,
1999-05,47.573,
1999-06,50.437,
1999-07,45.533,
1999-08,45.667,
1999-09,46.633,
1999-10,44.530,
1999-11,44.785,
1999-12,46.411,
2000-01,49.206,
2000-02,49.999,
2000-03,49.800,
2000-04,53.439,
2000-05,63.514,
2000-06,52.886,
2000-07,49.757,
2000-08,56.129,
2000-09,60.174,
2000-10,60.601,
2000-11,62.119,
2000-12,62.153,
2001-01,71.334,
2001-02,75.962,
2001-03,78.324,
2001-04,83.918,
2001-05,88.506,
2001-06,88.088,
2001-07,78.330,
2001-08,74.188,
2001-09,69.568,
2001-10,68.185,
2001-11,68.244,
2001-12,70.687,
2002-01,66.841,
2002-02,64.644,
2002-03,61.773,
2002-04,59.621,
2002-05,63.728,
2002-06,65.459,
2002-07,61.478,
2002-08,61.546,
2002-09,65.639,
2002-10,66.354,
2002-11,62.316,
2002-12,65.230,
2003-01,66.871,
2003-02,69.589,
2003-03,75.681,
2003-04,76.856,
2003-05,78.320,
2003-06,77.912,
2003-07,76.955,
2003-08,74.047,
2003-09,77.609,
2003-10,78.310,
2003-11,78.834,
2003-12,75.371,
2004-01,80.820,
2004-02,79.144,
2004-03,82.578,
2004-04,81.495,
2004-05,80.708,
2004-06,81.635,
2004-07,81.878,
2004-08,83.925,
2004-09,83.141,
2004-10,84.134,
2004-11,81.288,
2004-12,75.186,
2005-01,75.804,
2005-02,79.610,
2005-03,81.788,
2005-04,83.767,
2005-05,82.644,
2005-06,83.506,
2005-07,84.255,
2005-08,84.227,
2005-09,84.208,
2005-10,86.251,
2005-11,84.885,
2005-12,81.218,
2006-01,78.917,
2006-02,85.653,
2006-03,86.949,
2006-04,94.118,
2006-05,90.291,
2006-06,89.442,
2006-07,91.750,
2006-08,93.212,
2006-09,96.321,
2006-10,97.429,
2006-11,91.359,
