"",BBK01.OEAJ01U,BBK01.OEAJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:03,
2002-01,2.984,
2002-04,2.888,
2002-07,3.045,
2002-10,3.235,
2003-01,2.952,
2003-04,2.904,
2003-07,3.010,
2003-10,3.147,
2004-01,3.047,
2004-04,2.927,
2004-07,3.068,
2004-10,3.204,
2005-01,3.034,
2005-04,3.123,
2005-07,3.201,
2005-10,3.499,
2006-01,3.259,
2006-04,3.206,
2006-07,3.404,
2006-10,3.671,
2007-01,3.542,
2007-04,3.537,
2007-07,3.719,
2007-10,4.034,
2008-01,3.936,
2008-04,3.895,
2008-07,4.312,
2008-10,4.354,
2009-01,4.403,
2009-04,4.609,
2009-07,4.978,
2009-10,5.188,
2010-01,5.178,
2010-04,5.240,
2010-07,5.429,
2010-10,5.601,
2011-01,5.510,
2011-04,5.636,
2011-07,5.896,
2011-10,6.214,
2012-01,6.065,
2012-04,5.895,
2012-07,5.891,
2012-10,6.130,
2013-01,5.868,
2013-04,6.109,
2013-07,6.336,
2013-10,6.522,
2014-01,6.475,
2014-04,6.559,
2014-07,6.701,
