"",BBK01.WU046A,BBK01.WU046A_FLAGS
"",REX performance index / End 1987 = 100 / End of month,
unit,1987=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:11:16,
1967-01,21.24,
1967-02,21.45,
1967-03,21.97,
1967-04,22.07,
1967-05,22.35,
1967-06,22.39,
1967-07,22.67,
1967-08,22.83,
1967-09,23.06,
1967-10,23.17,
1967-11,23.32,
1967-12,23.43,
1968-01,23.58,
1968-02,23.71,
1968-03,23.82,
1968-04,24.20,
1968-05,24.47,
1968-06,24.61,
1968-07,24.77,
1968-08,24.96,
1968-09,25.12,
1968-10,25.22,
1968-11,25.37,
1968-12,25.52,
1969-01,25.70,
1969-02,25.82,
1969-03,25.83,
1969-04,25.84,
1969-05,25.98,
1969-06,25.71,
1969-07,25.73,
1969-08,25.84,
1969-09,25.49,
1969-10,25.76,
1969-11,25.68,
1969-12,25.76,
1970-01,25.67,
1970-02,25.73,
1970-03,25.45,
1970-04,25.64,
1970-05,25.46,
1970-06,25.21,
1970-07,25.83,
1970-08,26.02,
1970-09,26.02,
1970-10,26.08,
1970-11,26.47,
1970-12,27.17,
1971-01,27.75,
1971-02,27.72,
1971-03,27.83,
1971-04,27.97,
1971-05,28.02,
1971-06,27.76,
1971-07,27.98,
1971-08,28.35,
1971-09,28.67,
1971-10,28.99,
1971-11,29.17,
1971-12,29.49,
1972-01,30.21,
1972-02,30.66,
1972-03,30.53,
1972-04,30.21,
1972-05,30.57,
1972-06,30.39,
1972-07,30.64,
1972-08,30.91,
1972-09,31.12,
1972-10,30.69,
1972-11,30.60,
1972-12,30.69,
1973-01,30.92,
1973-02,31.26,
1973-03,31.18,
1973-04,30.99,
1973-05,30.52,
1973-06,30.31,
1973-07,30.22,
1973-08,31.03,
1973-09,31.03,
1973-10,31.44,
1973-11,31.61,
1973-12,31.70,
1974-01,31.97,
1974-02,31.28,
1974-03,31.40,
1974-04,31.65,
1974-05,31.49,
1974-06,31.69,
1974-07,31.87,
1974-08,32.12,
1974-09,32.26,
1974-10,32.61,
1974-11,33.63,
1974-12,34.31,
1975-01,35.56,
1975-02,36.25,
1975-03,36.39,
1975-04,37.00,
1975-05,37.56,
1975-06,37.74,
1975-07,38.08,
1975-08,38.26,
1975-09,38.44,
1975-10,38.26,
1975-11,38.68,
1975-12,38.94,
1976-01,39.48,
1976-02,40.24,
1976-03,40.67,
1976-04,40.84,
1976-05,40.50,
1976-06,40.58,
1976-07,40.67,
1976-08,41.16,
1976-09,41.65,
1976-10,42.13,
1976-11,43.13,
1976-12,43.28,
1977-01,43.84,
1977-02,44.15,
1977-03,45.15,
1977-04,45.98,
1977-05,46.27,
1977-06,46.60,
1977-07,47.23,
1977-08,47.74,
1977-09,48.09,
1977-10,48.38,
1977-11,48.62,
1977-12,49.15,
1978-01,49.73,
1978-02,50.43,
1978-03,50.71,
1978-04,50.79,
1978-05,50.73,
1978-06,50.49,
1978-07,49.84,
1978-08,50.16,
1978-09,50.70,
1978-10,50.73,
1978-11,50.83,
1978-12,50.99,
1979-01,50.75,
1979-02,50.53,
1979-03,50.65,
1979-04,50.20,
1979-05,49.41,
1979-06,49.56,
1979-07,50.26,
1979-08,50.88,
1979-09,51.08,
1979-10,50.27,
1979-11,50.89,
1979-12,51.25,
1980-01,50.95,
1980-02,49.79,
1980-03,48.32,
1980-04,50.37,
1980-05,51.88,
1980-06,53.02,
1980-07,53.90,
1980-08,53.81,
1980-09,53.41,
1980-10,53.15,
1980-11,53.22,
1980-12,52.84,
1981-01,52.79,
1981-02,50.50,
1981-03,51.65,
1981-04,51.45,
1981-05,50.14,
1981-06,51.43,
1981-07,51.23,
1981-08,51.11,
1981-09,52.33,
1981-10,53.60,
1981-11,55.33,
1981-12,55.52,
1982-01,55.86,
1982-02,56.39,
1982-03,57.88,
1982-04,59.59,
1982-05,59.82,
1982-06,58.79,
1982-07,59.72,
1982-08,61.01,
1982-09,62.40,
1982-10,63.78,
1982-11,64.27,
1982-12,65.83,
1983-01,66.28,
1983-02,67.01,
1983-03,67.92,
1983-04,67.89,
1983-05,66.52,
1983-06,67.27,
1983-07,67.27,
1983-08,67.00,
1983-09,67.72,
1983-10,68.60,
1983-11,68.70,
1983-12,69.06,
1984-01,69.69,
1984-02,70.94,
1984-03,71.28,
1984-04,71.67,
1984-05,71.57,
1984-06,72.13,
1984-07,72.40,
1984-08,73.94,
1984-09,74.95,
1984-10,76.36,
1984-11,77.61,
1984-12,78.17,
1985-01,77.96,
1985-02,77.10,
1985-03,78.15,
1985-04,79.15,
1985-05,80.39,
1985-06,81.31,
1985-07,82.55,
1985-08,84.31,
1985-09,84.93,
1985-10,83.94,
1985-11,85.00,
1985-12,86.19,
1986-01,86.78,
1986-02,88.56,
1986-03,89.99,
1986-04,91.20,
1986-05,89.97,
1986-06,90.77,
1986-07,91.66,
1986-08,92.80,
1986-09,92.21,
1986-10,91.91,
1986-11,93.16,
1986-12,93.62,
1987-01,95.11,
1987-02,95.46,
1987-03,97.01,
1987-04,97.86,
1987-05,98.76,
1987-06,97.75,
1987-07,99.07,
1987-08,97.17,
1987-09,96.51,
1987-10,98.00,
1987-11,99.75,Estimated value
1987-12,100.00,
1988-01,101.00,
1988-02,102.55,
1988-03,102.82,
1988-04,102.19,
1988-05,102.19,
1988-06,102.18,
1988-07,101.30,
1988-08,101.73,
1988-09,103.53,
1988-10,105.31,
1988-11,105.06,
1988-12,104.95,Corrected value
1989-01,103.85,
1989-02,103.01,
1989-03,103.93,
1989-04,104.61,
1989-05,104.35,
1989-06,106.14,
1989-07,107.62,
1989-08,106.92,
1989-09,106.31,
1989-10,106.30,
1989-11,105.83,
1989-12,106.64,
1990-01,105.29,
1990-02,102.23,
1990-03,103.67,
1990-04,103.18,
1990-05,104.10,
1990-06,105.12,
1990-07,106.78,
1990-08,105.61,
1990-09,105.65,
1990-10,106.99,
1990-11,107.87,
1990-12,108.14,
1991-01,109.78,
1991-02,112.13,
1991-03,112.26,
1991-04,113.46,
1991-05,114.77,
1991-06,114.39,
1991-07,114.09,
1991-08,115.97,
1991-09,116.78,
1991-10,117.45,
1991-11,118.39,
1991-12,120.22,
1992-01,122.52,
1992-02,123.37,
1992-03,123.16,
1992-04,123.79,
1992-05,124.79,
1992-06,124.96,
1992-07,125.13,
1992-08,126.75,
1992-09,130.54,
1992-10,133.31,
1992-11,134.46,
1992-12,136.34,
1993-01,137.87,
1993-02,141.40,
1993-03,142.34,
1993-04,142.37,
1993-05,142.98,
1993-06,144.79,
1993-07,146.57,
1993-08,149.10,
1993-09,150.64,
1993-10,153.02,
1993-11,154.29,
1993-12,156.33,
1994-01,156.37,
1994-02,153.22,
1994-03,153.45,
1994-04,152.34,
1994-05,151.55,
1994-06,152.10,
1994-07,153.12,
1994-08,151.97,
1994-09,150.78,
1994-10,151.76,
1994-11,153.38,
1994-12,152.40,
1995-01,154.84,
1995-02,156.64,
1995-03,159.90,
1995-04,161.96,
1995-05,165.93,
1995-06,163.86,
1995-07,166.14,
1995-08,168.19,
1995-09,169.78,
1995-10,172.24,
1995-11,175.62,
1995-12,177.84,
1996-01,179.93,
1996-02,177.06,
1996-03,177.76,
1996-04,180.03,
1996-05,180.06,
1996-06,179.37,
1996-07,181.73,
1996-08,183.21,
1996-09,186.17,
1996-10,187.69,
1996-11,190.83,
