"",BBK01.OEAH60M,BBK01.OEAH60M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:58,
2002-01,6.614,
2002-04,6.344,
2002-07,6.349,
2002-10,6.273,
2003-01,6.163,
2003-04,5.829,
2003-07,5.428,
2003-10,5.174,
2004-01,4.973,
2004-04,4.797,
2004-07,4.678,
2004-10,4.640,
2005-01,4.539,
2005-04,4.501,
2005-07,4.445,
2005-10,4.572,
2006-01,4.601,
2006-04,4.554,
2006-07,4.737,
2006-10,5.159,
2007-01,5.671,
2007-04,5.986,
2007-07,6.387,
2007-10,7.341,
2008-01,8.040,
2008-04,8.532,
2008-07,8.978,
2008-10,10.062,
2009-01,7.972,
2009-04,7.133,
2009-07,5.661,
2009-10,4.132,
2010-01,3.634,
2010-04,3.419,
2010-07,3.072,
2010-10,3.586,
2011-01,3.056,
2011-04,3.201,
2011-07,3.325,
2011-10,3.558,
2012-01,3.538,
2012-04,3.326,
2012-07,3.072,
2012-10,2.616,
2013-01,2.409,
2013-04,2.265,
2013-07,2.223,
2013-10,2.201,
2014-01,2.057,
2014-04,2.112,
2014-07,2.251,
