"",BBAI3.Q.DE.N.V.LE.F7.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:14,
2005-10,1963,
2006-01,1997,
2006-04,2038,
2006-07,2088,
2006-10,2120,
2007-01,2087,
2007-04,2084,
2007-07,2109,
2007-10,2495,
2008-01,2495,
2008-04,2516,
2008-07,2563,
2008-10,2442,
2009-01,2438,
2009-04,2444,
2009-07,2461,
2009-10,1941,
2010-01,1989,
2010-04,2041,
2010-07,2098,
2010-10,2117,
2011-01,2121,
2011-04,2119,
2011-07,2122,
2011-10,1860,
2012-01,1874,
2012-04,1870,
2012-07,1872,
2012-10,1894,
2013-01,1926,
2013-04,1947,
2013-07,1967,
2013-10,2008,
2014-01,1957,
2014-04,1890,
2014-07,1906,
