"",BBK01.OEAC21G,BBK01.OEAC21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:52,
2002-01,0.478,
2002-04,0.496,
2002-07,0.515,
2002-10,0.490,
2003-01,0.499,
2003-04,0.507,
2003-07,0.502,
2003-10,0.464,
2004-01,0.463,
2004-04,0.461,
2004-07,0.460,
2004-10,0.415,
2005-01,0.410,
2005-04,0.419,
2005-07,0.446,
2005-10,0.415,
2006-01,0.462,
2006-04,0.451,
2006-07,0.453,
2006-10,0.444,
2007-01,0.436,
2007-04,0.462,
2007-07,0.443,
2007-10,0.429,
2008-01,0.408,
2008-04,0.444,
2008-07,0.429,
2008-10,0.369,
2009-01,0.372,
2009-04,0.359,
2009-07,0.362,
2009-10,0.306,
2010-01,0.344,
2010-04,0.372,
2010-07,0.335,
2010-10,0.278,
2011-01,0.287,
2011-04,0.311,
2011-07,0.306,
2011-10,0.268,
2012-01,0.297,
2012-04,0.315,
2012-07,0.303,
2012-10,0.263,
2013-01,0.289,
2013-04,0.321,
2013-07,0.308,
2013-10,0.256,
2014-01,0.302,
2014-04,0.311,
2014-07,0.306,
