"",BBFN1.M.DE.N.1.L.G9.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:25,
1995-01,1.105,
1995-02,1.357,
1995-03,1.174,
1995-04,1.082,
1995-05,1.095,
1995-06,1.331,
1995-07,1.317,
1995-08,1.315,
1995-09,1.370,
1995-10,1.129,
1995-11,1.175,
1995-12,0.934,
1996-01,0.921,
1996-02,1.023,
1996-03,1.178,
1996-04,1.155,
1996-05,1.674,
1996-06,1.616,
1996-07,1.338,
1996-08,1.131,
1996-09,1.164,
1996-10,1.090,
1996-11,0.806,
1996-12,0.821,
1997-01,0.724,
1997-02,0.699,
1997-03,0.786,
1997-04,1.375,
1997-05,0.879,
1997-06,0.805,
1997-07,0.848,
1997-08,0.812,
1997-09,0.734,
1997-10,0.696,
1997-11,0.822,
1997-12,0.765,
1998-01,0.745,
1998-02,0.810,
1998-03,0.779,
1998-04,0.721,
1998-05,0.813,
1998-06,0.824,
1998-07,0.877,
1998-08,0.908,
1998-09,0.845,
1998-10,0.813,
1998-11,0.810,
1998-12,0.756,
1999-01,0.831,
1999-02,0.649,
1999-03,0.725,
1999-04,0.788,
1999-05,0.754,
1999-06,0.822,
1999-07,0.662,
1999-08,0.713,
1999-09,0.713,
1999-10,0.663,
1999-11,0.715,
1999-12,0.858,
2000-01,0.736,
2000-02,0.750,
2000-03,0.706,
2000-04,0.673,
2000-05,0.746,
2000-06,0.811,
2000-07,0.894,
2000-08,0.841,
2000-09,0.827,
2000-10,0.747,
2000-11,0.888,
2000-12,0.972,
2001-01,0.853,
2001-02,0.888,
2001-03,0.865,
2001-04,0.873,
2001-05,0.924,
2001-06,0.953,
2001-07,0.902,
2001-08,0.871,
2001-09,0.819,
2001-10,0.773,
2001-11,0.779,
2001-12,0.781,
2002-01,0.837,
2002-02,0.786,
2002-03,0.633,
2002-04,0.629,
2002-05,0.647,
2002-06,0.617,
2002-07,0.613,
2002-08,0.625,
2002-09,0.589,
2002-10,0.654,
2002-11,0.526,
2002-12,0.578,
2003-01,0.649,
2003-02,0.591,
2003-03,0.610,
2003-04,0.688,
2003-05,0.676,
2003-06,0.590,
2003-07,0.616,
2003-08,0.711,
2003-09,0.558,
2003-10,0.564,
2003-11,0.472,
2003-12,0.608,
2004-01,0.689,
2004-02,0.563,
2004-03,0.530,
2004-04,0.505,
2004-05,0.438,
2004-06,0.423,
2004-07,0.435,
2004-08,0.405,
2004-09,0.396,
2004-10,0.398,
2004-11,0.411,
2004-12,0.478,
2005-01,0.442,
2005-02,0.508,
2005-03,0.457,
2005-04,0.477,
2005-05,0.459,
2005-06,0.527,
2005-07,0.532,
2005-08,0.623,
2005-09,0.575,
2005-10,0.593,
2005-11,0.642,
2005-12,0.632,
2006-01,0.787,
2006-02,0.719,
2006-03,0.938,
2006-04,0.936,
2006-05,1.024,
2006-06,0.918,
2006-07,0.877,
2006-08,0.986,
2006-09,1.484,
2006-10,0.958,
2006-11,0.835,
2006-12,4.246,
2007-01,6.206,
2007-02,9.230,
2007-03,3.903,
2007-04,4.122,
2007-05,8.253,
2007-06,1.029,
2007-07,0.924,
2007-08,0.857,
2007-09,0.869,
2007-10,0.877,
2007-11,0.916,
2007-12,0.937,
2008-01,0.949,
2008-02,0.916,
2008-03,1.395,
2008-04,1.104,
2008-05,1.175,
2008-06,1.086,
2008-07,1.386,
2008-08,1.208,
2008-09,1.286,
2008-10,2.210,
2008-11,3.146,
2008-12,1.852,
2009-01,1.590,
2009-02,2.713,
2009-03,3.574,
2009-04,4.581,
2009-05,2.084,
2009-06,2.236,
2009-07,2.081,
2009-08,1.725,
2009-09,1.909,
2009-10,2.346,
2009-11,2.820,
2009-12,9.792,
2010-01,1.213,
2010-02,1.053,
2010-03,4.431,
2010-04,2.509,
2010-05,2.243,
2010-06,3.028,
2010-07,2.981,
2010-08,1.811,
2010-09,1.800,
2010-10,2.054,
2010-11,1.793,
2010-12,2.794,
2011-01,2.086,
2011-02,1.210,
2011-03,2.366,
2011-04,1.988,
2011-05,1.593,
2011-06,1.930,
2011-07,1.154,
2011-08,3.358,
2011-09,5.123,
2011-10,4.474,
2011-11,5.306,
2011-12,6.135,
2012-01,2.909,
2012-02,2.773,
2012-03,2.978,
2012-04,3.352,
2012-05,3.386,
2012-06,3.971,
2012-07,3.452,
2012-08,2.948,
2012-09,2.911,
2012-10,2.762,
2012-11,3.005,
2012-12,0.029,
2013-01,0.029,
2013-02,0.031,
2013-03,0.024,
2013-04,0.024,
2013-05,0.024,
2013-06,0.017,
2013-07,0.119,
2013-08,0.024,
2013-09,0.013,
2013-10,0.011,
2013-11,0.013,
2013-12,0.007,
2014-01,0.021,
2014-02,0.027,
2014-03,0.026,
2014-04,0.028,
2014-05,0.028,
2014-06,0.021,
2014-07,0.021,
2014-08,0.027,
2014-09,0.036,
2014-10,0.052,
2014-11,0.033,
2014-12,0.036,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
