"",BBK01.OEAP03Q,BBK01.OEAP03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:00,
2002-01,3.587,
2002-04,2.838,
2002-07,2.801,
2002-10,2.672,
2003-01,2.720,
2003-04,2.454,
2003-07,2.236,
2003-10,2.093,
2004-01,2.065,
2004-04,2.448,
2004-07,2.051,
2004-10,1.871,
2005-01,1.208,
2005-04,1.245,
2005-07,1.324,
2005-10,1.121,
2006-01,0.915,
2006-04,1.061,
2006-07,0.976,
2006-10,0.904,
2007-01,0.714,
2007-04,0.729,
2007-07,0.684,
2007-10,0.607,
2008-01,0.645,
2008-04,0.717,
2008-07,0.677,
2008-10,0.644,
2009-01,0.672,
2009-04,0.524,
2009-07,0.406,
2009-10,0.425,
2010-01,0.469,
2010-04,0.412,
2010-07,0.278,
2010-10,0.277,
2011-01,0.258,
2011-04,0.288,
2011-07,8.373,
2011-10,0.312,
2012-01,0.317,
2012-04,0.304,
2012-07,0.368,
2012-10,0.324,
2013-01,0.309,
2013-04,0.202,
2013-07,0.234,
2013-10,0.189,
2014-01,0.172,
2014-04,0.186,
2014-07,0.120,
