"",BBK01.OEAK01P,BBK01.OEAK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:07,
2002-01,0.816,
2002-04,0.788,
2002-07,0.787,
2002-10,0.760,
2003-01,0.787,
2003-04,0.776,
2003-07,0.778,
2003-10,0.759,
2004-01,0.742,
2004-04,0.742,
2004-07,0.742,
2004-10,0.734,
2005-01,0.749,
2005-04,0.751,
2005-07,0.778,
2005-10,0.789,
2006-01,0.808,
2006-04,0.793,
2006-07,0.786,
2006-10,0.835,
2007-01,0.842,
2007-04,0.840,
2007-07,0.856,
2007-10,0.911,
2008-01,0.917,
2008-04,0.942,
2008-07,0.968,
2008-10,1.037,
2009-01,0.979,
2009-04,0.999,
2009-07,1.052,
2009-10,1.070,
2010-01,1.108,
2010-04,1.136,
2010-07,1.151,
2010-10,1.178,
2011-01,1.165,
2011-04,1.191,
2011-07,1.220,
2011-10,1.259,
2012-01,1.242,
2012-04,1.248,
2012-07,1.259,
2012-10,1.260,
2013-01,1.252,
2013-04,1.259,
2013-07,1.251,
2013-10,1.278,
2014-01,1.282,
2014-04,1.272,
2014-07,1.301,
