"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:03,
1991-01,-174.691,
1991-02,1460.687,
1991-03,2394.459,
1991-04,1323.988,
1991-05,2531.713,
1991-06,2046.499,
1991-07,946.735,
1991-08,1299.850,
1991-09,920.536,
1991-10,871.955,
1991-11,1876.985,
1991-12,-798.701,
1992-01,1580.339,
1992-02,4797.991,
1992-03,2531.656,
1992-04,2549.178,
1992-05,1054.052,
1992-06,4923.111,
1992-07,2869.366,
1992-08,1406.186,
1992-09,-1545.294,
1992-10,5761.862,
1992-11,5256.966,
1992-12,4808.708,
1993-01,6754.134,
1993-02,6834.977,
1993-03,5768.007,
1993-04,6213.753,
1993-05,3382.977,
1993-06,790.150,
1993-07,2136.492,
1993-08,2858.991,
1993-09,-1229.369,
1993-10,1144.347,
1993-11,-2211.943,
1993-12,-11640.207,
1994-01,2219.222,
1994-02,5153.719,
1994-03,2518.486,
1994-04,2568.884,
1994-05,2426.344,
1994-06,-309.160,
1994-07,1840.358,
1994-08,4430.916,
1994-09,2852.889,
1994-10,2349.055,
1994-11,2716.056,
1994-12,5442.126,
1995-01,-1276.435,
1995-02,1454.041,
1995-03,-444.958,
1995-04,1951.185,
1995-05,2241.807,
1995-06,-34.559,
1995-07,-481.334,
1995-08,1610.712,
1995-09,1731.325,
1995-10,655.153,
1995-11,1423.246,
1995-12,4233.218,
1996-01,3773.495,
1996-02,3962.914,
1996-03,2049.651,
1996-04,4153.723,
1996-05,617.248,
1996-06,-847.014,
1996-07,3631.715,
1996-08,-453.236,
1996-09,-870.931,
1996-10,1268.245,
1996-11,1045.573,
1996-12,5358.779,
1997-01,8296.338,
1997-02,7095.418,
1997-03,4716.835,
1997-04,6809.401,
1997-05,6530.154,
1997-06,11388.060,
1997-07,14503.413,
1997-08,5459.607,
1997-09,5340.580,
1997-10,5669.643,
1997-11,3715.820,
1997-12,232.436,
1998-01,7397.488,
1998-02,14922.642,
1998-03,17315.740,
1998-04,10527.831,
1998-05,14151.837,
1998-06,13645.777,
1998-07,10606.521,
1998-08,1909.798,
1998-09,6532.060,
1998-10,11507.249,
1998-11,12201.080,
1998-12,10262.701,
1999-01,20487.900,
1999-02,15963.602,
1999-03,23443.286,
1999-04,13316.086,
1999-05,10885.023,
1999-06,11739.849,
1999-07,15792.303,
1999-08,11080.051,
1999-09,12470.269,
1999-10,5939.632,
1999-11,12897.232,
1999-12,23368.403,
2000-01,21265.219,
2000-02,50462.995,
2000-03,17892.692,
2000-04,5533.655,
2000-05,12477.017,
2000-06,16344.309,
2000-07,19979.381,
2000-08,15343.218,
2000-09,19038.285,
2000-10,10224.109,
2000-11,11370.641,
2000-12,3607.497,
2001-01,27447.339,
2001-02,13986.927,
2001-03,4490.479,
2001-04,23747.610,
2001-05,15070.568,
2001-06,7531.174,
2001-07,6478.883,
2001-08,1713.512,
2001-09,-5475.996,
2001-10,9238.374,
2001-11,5276.300,
2001-12,15005.768,
2002-01,12221.829,
2002-02,10950.436,
2002-03,7228.068,
2002-04,5363.870,
2002-05,12640.956,
2002-06,48.849,
2002-07,11081.224,
2002-08,-3053.357,
2002-09,-2242.495,
2002-10,3949.640,
2002-11,4678.105,
2002-12,342.346,
2003-01,2700.587,
2003-02,3000.293,
2003-03,-3014.243,
2003-04,505.331,
2003-05,13846.476,
2003-06,15191.323,
2003-07,-682.260,
2003-08,-1930.263,
2003-09,2855.225,
2003-10,11448.368,
2003-11,-961.959,
2003-12,2830.891,
2004-01,7043.503,
2004-02,9433.865,
2004-03,16179.681,
2004-04,6889.251,
2004-05,12191.064,
2004-06,14442.885,
2004-07,12695.910,
2004-08,6069.246,
2004-09,4167.286,
2004-10,10635.050,
2004-11,4140.626,
2004-12,202.162,
2005-01,16607.018,
2005-02,29635.155,
2005-03,20500.542,
2005-04,18321.328,
2005-05,9049.466,
2005-06,23861.551,
2005-07,-835.133,
2005-08,12286.073,
2005-09,17835.605,
2005-10,6100.893,
2005-11,35476.580,
2005-12,16791.821,
2006-01,28637.260,
2006-02,19490.514,
2006-03,14856.647,
2006-04,3202.981,
2006-05,4990.784,
2006-06,19219.884,
2006-07,850.014,
2006-08,947.127,
2006-09,18394.791,
2006-10,16285.606,
2006-11,31372.232,
2006-12,4712.331,
2007-01,24940.945,
2007-02,27493.682,
2007-03,14410.263,
2007-04,9109.249,
2007-05,36228.182,
2007-06,14200.835,
2007-07,1324.973,
2007-08,-3534.999,
2007-09,5286.448,
2007-10,23899.474,
2007-11,2225.783,
2007-12,-7583.687,
2008-01,-223.398,
2008-02,14783.641,
2008-03,20205.507,
2008-04,-13638.567,
2008-05,27224.309,
2008-06,11555.487,
2008-07,1217.328,
2008-08,1115.381,
2008-09,-11290.683,
2008-10,-42857.423,
2008-11,-15450.131,
2008-12,-11842.381,
2009-01,7793.776,
2009-02,1887.562,
2009-03,2274.639,
2009-04,-143.800,
2009-05,21187.779,
2009-06,10565.661,
2009-07,15893.963,
2009-08,-1112.490,
2009-09,10416.938,
2009-10,6278.531,
2009-11,11699.598,
2009-12,-7424.371,
2010-01,13273.769,
2010-02,-1511.640,
2010-03,13049.819,
2010-04,-1617.297,
2010-05,503.411,
2010-06,4726.703,
2010-07,1422.891,
2010-08,7690.886,
2010-09,14985.777,
2010-10,130741.026,
2010-11,4926.114,
2010-12,-17757.297,
2011-01,12624.503,
2011-02,8656.202,
2011-03,-112.232,
2011-04,7830.382,
2011-05,7142.439,
2011-06,-5443.690,
2011-07,-6573.715,
2011-08,-3437.696,
2011-09,-4586.310,
2011-10,2733.233,
2011-11,-149.993,
2011-12,2944.057,
2012-01,22560.952,
2012-02,4599.840,
2012-03,7284.242,
2012-04,-6301.325,
2012-05,11305.592,
2012-06,-5177.415,
2012-07,12849.422,
2012-08,5636.891,
2012-09,10628.999,
2012-10,12893.249,
2012-11,13794.358,
2012-12,19739.407,
2013-01,21325.002,
2013-02,8907.595,
2013-03,15287.661,
2013-04,7581.631,
2013-05,27238.024,
2013-06,4311.399,
2013-07,19957.023,
2013-08,9259.631,
2013-09,3426.874,
2013-10,9849.813,
2013-11,16083.561,
2013-12,-2272.114,
2014-01,8913.034,
2014-02,3965.604,Provisional value
2014-03,27632.470,Provisional value
2014-04,19537.648,Provisional value
2014-05,5786.224,Provisional value
2014-06,16019.811,Provisional value
2014-07,7711.455,Provisional value
2014-08,-5170.723,Provisional value
2014-09,24650.992,
2014-10,8415.594,
2014-11,22516.881,
2014-12,4878.834,Provisional value
