"",BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:48,
1991-01,-91.575,
1991-04,-494.278,
1991-07,310.297,
1991-10,-706.060,
1992-01,-281.650,
1992-04,-78.231,
1992-07,-367.735,
1992-10,-154.770,
1993-01,-255.280,
1993-04,471.547,
1993-07,-216.465,
1993-10,-435.154,
1994-01,890.981,
1994-04,1187.056,
1994-07,157.794,
1994-10,-323.548,
1995-01,736.409,
1995-04,-130.681,
1995-07,911.150,
1995-10,1061.819,
1996-01,2426.809,
1996-04,881.961,
1996-07,-878.782,
1996-10,-407.975,
1997-01,473.927,
1997-04,1747.780,
1997-07,396.130,
1997-10,-33.048,
1998-01,1552.376,
1998-04,1950.538,
1998-07,-499.313,
1998-10,839.213,
1999-01,-227.540,
1999-04,8392.085,
1999-07,956.318,
1999-10,8059.093,
2000-01,-2260.971,
2000-04,-1981.576,
2000-07,2691.518,
2000-10,-1539.867,
2001-01,7458.340,
2001-04,1762.138,
2001-07,225.444,
2001-10,-5998.458,
2002-01,4274.743,
2002-04,-4735.282,
2002-07,-680.205,
2002-10,-6514.043,
2003-01,671.547,
2003-04,-920.485,
2003-07,-3992.930,
2003-10,-1119.651,
2004-01,-2037.356,
2004-04,-2117.937,
2004-07,-1223.290,
2004-10,1976.681,
2005-01,-1866.832,
2005-04,-235.439,
2005-07,2709.064,
2005-10,186.248,
2006-01,513.327,
2006-04,-2634.673,
2006-07,4349.461,
2006-10,2307.008,
2007-01,-787.139,
2007-04,1549.649,
2007-07,3462.391,
2007-10,550.066,
2008-01,-4742.592,
2008-04,1322.188,
2008-07,247.457,
2008-10,-225.118,
2009-01,1850.454,
2009-04,-3057.176,
2009-07,859.942,
2009-10,-584.104,
2010-01,3013.097,
2010-04,449.073,
2010-07,-2676.205,
2010-10,255.423,
2011-01,-3550.058,
2011-04,-3046.931,
2011-07,1884.412,
2011-10,3040.541,
2012-01,-546.690,
2012-04,3095.939,
2012-07,3568.661,
2012-10,21.167,
2013-01,-2841.073,
2013-04,-2650.196,
2013-07,-1954.874,
2013-10,695.664,
2014-01,2075.288,Provisional value
2014-04,1721.645,Provisional value
2014-07,-3613.224,Provisional value
2014-10,1912.503,Provisional value
