"",BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:44,
1991-01,-512.948,
1991-04,-933.382,
1991-07,1121.393,
1991-10,-29.979,
1992-01,935.336,
1992-04,-7.151,
1992-07,1231.230,
1992-10,606.205,
1993-01,1048.705,
1993-04,454.890,
1993-07,663.160,
1993-10,1217.618,
1994-01,1838.247,
1994-04,367.964,
1994-07,1468.796,
1994-10,-227.924,
1995-01,1371.386,
1995-04,2781.978,
1995-07,765.014,
1995-10,1390.010,
1996-01,747.678,
1996-04,1317.338,
1996-07,-389.221,
1996-10,-13.987,
1997-01,1269.398,
1997-04,2189.658,
1997-07,1258.039,
1997-10,-1463.382,
1998-01,2170.194,
1998-04,3670.921,
1998-07,2245.714,
1998-10,3292.386,
1999-01,1880.368,
1999-04,9910.788,
1999-07,3321.184,
1999-10,9618.641,
2000-01,-1827.060,
2000-04,105.244,
2000-07,4126.100,
2000-10,-1420.755,
2001-01,8470.650,
2001-04,2764.136,
2001-07,1343.374,
2001-10,-3542.723,
2002-01,6259.000,
2002-04,-3878.911,
2002-07,981.857,
2002-10,-5912.881,
2003-01,1221.979,
2003-04,-251.585,
2003-07,-2564.247,
2003-10,63.359,
2004-01,101.628,
2004-04,-1400.912,
2004-07,966.031,
2004-10,4948.681,
2005-01,-463.307,
2005-04,286.309,
2005-07,4051.301,
2005-10,1228.575,
2006-01,555.792,
2006-04,-1078.004,
2006-07,5672.535,
2006-10,4173.210,
2007-01,144.970,
2007-04,4473.406,
2007-07,3171.462,
2007-10,3008.756,
2008-01,-4252.634,
2008-04,1802.369,
2008-07,1711.563,
2008-10,1177.783,
2009-01,3800.939,
2009-04,-117.077,
2009-07,2800.549,
2009-10,1485.048,
2010-01,7033.179,
2010-04,2875.366,
2010-07,-572.615,
2010-10,4145.625,
2011-01,-471.266,
2011-04,-170.406,
2011-07,2271.784,
2011-10,4702.147,
2012-01,608.787,
2012-04,1484.759,
2012-07,5456.304,
2012-10,2772.403,
2013-01,-243.538,
2013-04,-1136.473,
2013-07,1539.059,
2013-10,1171.439,
2014-01,2127.709,Provisional value
2014-04,2172.321,Provisional value
2014-07,-3962.604,Provisional value
2014-10,2356.486,Provisional value
