"",BBK01.OEHL03G,BBK01.OEHL03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:40,
2002-01,5.336,
2002-04,5.159,
2002-07,5.134,
2002-10,5.028,
2003-01,5.012,
2003-04,4.916,
2003-07,4.718,
2003-10,4.547,
2004-01,4.325,
2004-04,4.147,
2004-07,4.032,
2004-10,3.905,
2005-01,2.959,
2005-04,2.861,
2005-07,2.825,
2005-10,2.923,
2006-01,3.029,
2006-04,3.077,
2006-07,3.128,
2006-10,3.146,
2007-01,3.273,
2007-04,3.346,
2007-07,3.574,
2007-10,4.172,
2008-01,4.574,
2008-04,5.006,
2008-07,5.489,
2008-10,6.383,
2009-01,4.952,
2009-04,3.655,
2009-07,2.900,
2009-10,2.518,
2010-01,2.352,
2010-04,2.170,
2010-07,2.187,
2010-10,2.145,
2011-01,2.063,
2011-04,2.139,
2011-07,2.207,
2011-10,2.333,
2012-01,2.214,
2012-04,1.928,
2012-07,1.727,
2012-10,1.585,
2013-01,1.453,
2013-04,1.353,
2013-07,1.216,
2013-10,1.241,
2014-01,1.084,
2014-04,1.079,
2014-07,1.070,
