"",BBK01.OEXB14H,BBK01.OEXB14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:05,
2002-01,1.207,
2002-04,1.197,
2002-07,1.105,
2002-10,1.112,
2003-01,1.054,
2003-04,1.051,
2003-07,1.115,
2003-10,1.111,
2004-01,1.049,
2004-04,0.977,
2004-07,1.024,
2004-10,0.953,
2005-01,0.907,
2005-04,0.903,
2005-07,0.878,
2005-10,0.794,
2006-01,0.795,
2006-04,0.734,
2006-07,0.749,
2006-10,0.782,
2007-01,0.742,
2007-04,0.722,
2007-07,0.703,
2007-10,0.744,
2008-01,0.699,
2008-04,0.681,
2008-07,0.719,
2008-10,0.780,
2009-01,0.719,
2009-04,0.723,
2009-07,0.702,
2009-10,0.696,
2010-01,0.691,
2010-04,0.713,
2010-07,0.686,
2010-10,0.570,
2011-01,0.544,
2011-04,0.537,
2011-07,0.563,
2011-10,0.601,
2012-01,0.619,
2012-04,0.606,
2012-07,0.582,
2012-10,0.628,
2013-01,0.590,
2013-04,0.652,
2013-07,0.623,
2013-10,0.667,
2014-01,0.639,
2014-04,0.606,
2014-07,0.638,
