"",BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:41,
1991-01,-0.682,
1991-04,-0.283,
1991-07,4.177,
1991-10,-0.527,
1992-01,0.112,
1992-04,-0.716,
1992-07,-0.217,
1992-10,-0.497,
1993-01,-0.558,
1993-04,-1.998,
1993-07,-0.867,
1993-10,-0.411,
1994-01,-0.337,
1994-04,-2.019,
1994-07,-1.101,
1994-10,-1.363,
1995-01,-0.576,
1995-04,-0.256,
1995-07,-0.214,
1995-10,14.116,
1996-01,-0.614,
1996-04,-0.166,
1996-07,-0.458,
1996-10,-1.602,
1997-01,-2.107,
1997-04,-1.648,
1997-07,-0.301,
1997-10,-1.553,
1998-01,-0.177,
1998-04,2.827,
1998-07,-0.449,
1998-10,-1.569,
1999-01,-0.326,
1999-04,-1.676,
1999-07,-0.142,
1999-10,-1.703,
2000-01,-0.149,
2000-04,-1.677,
2000-07,-0.087,
2000-10,-0.244,
2001-01,-0.029,
2001-04,-1.485,
2001-07,-0.124,
2001-10,-1.412,
2002-01,-0.114,
2002-04,-1.363,
2002-07,0.040,
2002-10,-1.592,
2003-01,15.882,
2003-04,-1.632,
2003-07,-0.642,
2003-10,-1.433,
2004-01,-0.830,
2004-04,-1.350,
2004-07,0.052,
2004-10,-3.353,
2005-01,-0.377,
2005-04,-0.462,
2005-07,54.891,
2005-10,-0.567,
2006-01,43.583,
2006-04,0.486,
2006-07,-1.038,
2006-10,-0.753,
2007-01,-1.498,
2007-04,-0.460,
2007-07,-1.160,
2007-10,53.448,
2008-01,156.195,
2008-04,-0.870,
2008-07,-1.081,
2008-10,1.489,
2009-01,18.812,
2009-04,-21.624,
2009-07,1.095,
2009-10,24.959,
2010-01,-0.671,
2010-04,2.720,
2010-07,-0.705,
2010-10,-2.051,
2011-01,3.035,
2011-04,-1.104,
2011-07,6.867,
2011-10,25.739,
2012-01,-6.805,
2012-04,-37.036,
2012-07,-3.130,
2012-10,6.836,
2013-01,14.176,
2013-04,14.927,
2013-07,-231.093,
2013-10,13.691,
2014-01,-35.051,Provisional value
2014-04,2.034,Provisional value
2014-07,-21.396,Provisional value
2014-10,34.743,Provisional value
