"",BBK01.OEAC29R,BBK01.OEAC29R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:40,
2002-01,0.530,
2002-04,0.517,
2002-07,0.501,
2002-10,0.506,
2003-01,0.514,
2003-04,0.524,
2003-07,0.517,
2003-10,0.442,
2004-01,0.421,
2004-04,0.421,
2004-07,0.412,
2004-10,0.392,
2005-01,0.416,
2005-04,0.401,
2005-07,0.405,
2005-10,0.380,
2006-01,0.371,
2006-04,0.374,
2006-07,0.346,
2006-10,0.329,
2007-01,0.339,
2007-04,0.358,
2007-07,0.358,
2007-10,0.369,
2008-01,0.367,
2008-04,0.351,
2008-07,0.319,
2008-10,0.322,
2009-01,0.300,
2009-04,0.286,
2009-07,0.269,
2009-10,0.249,
2010-01,0.271,
2010-04,0.266,
2010-07,0.242,
2010-10,0.230,
2011-01,0.240,
2011-04,0.235,
2011-07,0.221,
2011-10,0.216,
2012-01,0.237,
2012-04,0.248,
2012-07,0.219,
2012-10,0.221,
2013-01,0.235,
2013-04,0.231,
2013-07,0.204,
2013-10,0.208,
2014-01,0.211,
2014-04,0.210,
2014-07,0.186,
