"",BBK01.OEAE03U,BBK01.OEAE03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:18,
2002-01,0.295,
2002-04,0.306,
2002-07,0.307,
2002-10,0.275,
2003-01,0.278,
2003-04,0.287,
2003-07,0.296,
2003-10,0.298,
2004-01,0.281,
2004-04,0.284,
2004-07,0.284,
2004-10,0.279,
2005-01,0.277,
2005-04,0.292,
2005-07,0.305,
2005-10,0.301,
2006-01,0.300,
2006-04,0.290,
2006-07,0.297,
2006-10,0.304,
2007-01,0.306,
2007-04,0.291,
2007-07,0.302,
2007-10,0.282,
2008-01,0.281,
2008-04,0.263,
2008-07,0.260,
2008-10,0.275,
2009-01,0.245,
2009-04,0.237,
2009-07,0.237,
2009-10,0.241,
2010-01,0.257,
2010-04,0.253,
2010-07,0.263,
2010-10,0.269,
2011-01,0.274,
2011-04,0.326,
2011-07,0.330,
2011-10,0.302,
2012-01,0.291,
2012-04,0.281,
2012-07,0.282,
2012-10,0.280,
2013-01,0.290,
2013-04,0.289,
2013-07,0.302,
2013-10,0.308,
2014-01,0.301,
2014-04,0.306,
2014-07,0.300,
