"",BBK01.OEAF34S,BBK01.OEAF34S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:00,
2002-01,4.327,
2002-04,4.373,
2002-07,4.404,
2002-10,4.443,
2003-01,4.595,
2003-04,4.596,
2003-07,5.562,
2003-10,5.599,
2004-01,5.528,
2004-04,5.516,
2004-07,5.560,
2004-10,5.117,
2005-01,5.939,
2005-04,6.003,
2005-07,6.036,
2005-10,6.096,
2006-01,6.089,
2006-04,6.113,
2006-07,6.149,
2006-10,6.143,
2007-01,6.061,
2007-04,6.177,
2007-07,6.331,
2007-10,6.337,
2008-01,6.270,
2008-04,6.299,
2008-07,6.356,
2008-10,6.313,
2009-01,6.282,
2009-04,6.760,
2009-07,6.764,
2009-10,6.487,
2010-01,6.781,
2010-04,6.822,
2010-07,6.865,
2010-10,6.333,
2011-01,6.509,
2011-04,6.526,
2011-07,6.547,
2011-10,6.552,
2012-01,6.631,
2012-04,6.690,
2012-07,6.791,
2012-10,6.861,
2013-01,6.940,
2013-04,7.027,
2013-07,7.109,
2013-10,7.177,
2014-01,7.254,
2014-04,7.369,
2014-07,7.492,
