"",BBK01.OEAH65M,BBK01.OEAH65M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:00,
2002-01,0.874,
2002-04,0.892,
2002-07,0.900,
2002-10,0.927,
2003-01,0.908,
2003-04,0.920,
2003-07,0.930,
2003-10,0.925,
2004-01,0.906,
2004-04,0.836,
2004-07,0.760,
2004-10,0.751,
2005-01,0.759,
2005-04,0.828,
2005-07,0.852,
2005-10,0.954,
2006-01,1.171,
2006-04,1.378,
2006-07,1.765,
2006-10,2.279,
2007-01,2.969,
2007-04,3.426,
2007-07,3.923,
2007-10,4.409,
2008-01,4.785,
2008-04,5.076,
2008-07,5.349,
2008-10,5.741,
2009-01,5.355,
2009-04,4.760,
2009-07,3.953,
2009-10,3.182,
2010-01,3.092,
2010-04,2.996,
2010-07,2.948,
2010-10,2.946,
2011-01,3.007,
2011-04,3.078,
2011-07,3.116,
2011-10,3.070,
2012-01,2.685,
2012-04,2.617,
2012-07,2.533,
2012-10,2.377,
2013-01,2.041,
2013-04,1.813,
2013-07,1.522,
2013-10,1.432,
2014-01,1.276,
2014-04,1.164,
2014-07,1.085,
