"",BBK01.CEH70C,BBK01.CEH70C_FLAGS
"",Other claims debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:31,
1991-01,-3.3,
1991-04,1.7,
1991-07,-2.6,
1991-10,-0.9,
1992-01,2.4,
1992-04,-7.3,
1992-07,-5.3,
1992-10,11.8,
1993-01,0.0,
1993-04,-2.3,
1993-07,-3.9,
1993-10,6.4,
1994-01,17.4,
1994-04,-4.1,
1994-07,-9.7,
1994-10,7.3,
1995-01,-19.9,
1995-04,1.7,
1995-07,-13.7,
1995-10,19.0,
1996-01,-3.4,
1996-04,-8.0,
1996-07,0.0,
1996-10,6.6,
1997-01,-0.7,
1997-04,-3.0,
1997-07,-3.8,
1997-10,5.9,
1998-01,-1.6,
1998-04,-10.4,
1998-07,-12.4,
1998-10,11.4,
1999-01,3.9,
1999-04,-5.1,
1999-07,-1.4,
1999-10,12.6,
2000-01,9.9,
2000-04,-9.1,
2000-07,19.3,
2000-10,-28.4,
2001-01,6.5,
2001-04,-5.4,
2001-07,3.0,
2001-10,-3.5,
2002-01,7.6,
2002-04,-9.6,
2002-07,11.8,
2002-10,-9.1,
2003-01,6.6,
2003-04,-12.1,
2003-07,-2.7,
2003-10,8.7,
2004-01,16.8,
2004-04,-8.4,
2004-07,1.7,
2004-10,-2.6,
2005-01,2.4,
2005-04,-4.4,
2005-07,3.5,
2005-10,-6.7,
2006-01,10.4,
2006-04,-15.7,
2006-07,-3.7,
2006-10,-3.3,
2007-01,13.3,
2007-04,-7.0,
2007-07,-1.6,
2007-10,0.0,
2008-01,7.0,
2008-04,-4.7,
2008-07,4.1,
2008-10,-6.5,
2009-01,14.7,
2009-04,-8.1,
2009-07,-1.8,
2009-10,-2.7,
2010-01,-2.2,
2010-04,-7.9,
2010-07,-26.2,
2010-10,37.5,
2011-01,9.2,
2011-04,-3.4,
2011-07,4.9,
2011-10,-9.0,
2012-01,14.2,
2012-04,-6.5,
2012-07,12.5,
2012-10,-18.7,
2013-01,13.7,
2013-04,-9.9,
2013-07,-1.9,
2013-10,-1.2,
2014-01,2.8,
