"",BBK01.OECJ02V,BBK01.OECJ02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:22,
2002-01,1.004,
2002-04,1.048,
2002-07,1.099,
2002-10,1.244,
2003-01,1.020,
2003-04,1.032,
2003-07,1.110,
2003-10,1.859,
2004-01,2.190,
2004-04,2.651,
2004-07,3.049,
2004-10,1.986,
2005-01,2.069,
2005-04,2.414,
2005-07,3.825,
2005-10,2.456,
2006-01,2.148,
2006-04,2.226,
2006-07,2.366,
2006-10,2.689,
2007-01,2.557,
2007-04,2.432,
2007-07,2.484,
2007-10,2.757,
2008-01,2.875,
2008-04,2.657,
2008-07,2.948,
2008-10,2.193,
2009-01,3.385,
2009-04,3.308,
2009-07,3.286,
2009-10,2.514,
2010-01,2.488,
2010-04,2.575,
2010-07,2.411,
2010-10,2.430,
2011-01,2.382,
2011-04,2.485,
2011-07,2.591,
2011-10,2.555,
2012-01,2.548,
2012-04,2.322,
2012-07,2.537,
2012-10,2.471,
2013-01,2.469,
2013-04,2.481,
2013-07,2.498,
2013-10,2.710,
2014-01,2.670,
2014-04,2.542,
2014-07,2.645,
