"",BBK01.OEBJ02H,BBK01.OEBJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:09,
2002-01,13.667,
2002-04,17.616,
2002-07,16.843,
2002-10,18.923,
2003-01,17.448,
2003-04,20.387,
2003-07,17.732,
2003-10,17.316,
2004-01,19.264,
2004-04,17.897,
2004-07,17.924,
2004-10,17.224,
2005-01,20.270,
2005-04,21.834,
2005-07,23.809,
2005-10,23.710,
2006-01,26.060,
2006-04,27.266,
2006-07,27.626,
2006-10,27.076,
2007-01,29.628,
2007-04,31.663,
2007-07,32.062,
2007-10,32.846,
2008-01,37.475,
2008-04,36.921,
2008-07,40.962,
2008-10,38.008,
2009-01,47.848,
2009-04,30.712,
2009-07,31.459,
2009-10,34.199,
2010-01,32.359,
2010-04,34.376,
2010-07,33.772,
2010-10,36.900,
2011-01,37.475,
2011-04,34.928,
2011-07,40.787,
2011-10,37.882,
2012-01,37.220,
2012-04,39.454,
2012-07,43.744,
2012-10,44.513,
2013-01,43.005,
2013-04,44.253,
2013-07,45.562,
2013-10,42.782,
2014-01,41.478,
2014-04,42.986,
2014-07,44.286,
