"",BBDA1.M.DE.N.IM.S.A.JP.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.JP.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Japan / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:51,
1990-07,1464639,
1990-08,1495816,
1990-09,1295746,
1990-10,1583306,
1990-11,1591699,
1990-12,1312843,
1991-01,1621831,
1991-02,1445828,
1991-03,1571880,
1991-04,1899036,
1991-05,1678531,
1991-06,1792982,
1991-07,1866320,
1991-08,1772419,
1991-09,1729560,
1991-10,1798100,
1991-11,1690277,
1991-12,1412896,
1992-01,1561338,
1992-02,1651676,
1992-03,1870888,
1992-04,1769917,
1992-05,1630415,
1992-06,1576694,
1992-07,1724311,
1992-08,1425961,
1992-09,1440200,
1992-10,1798080,
1992-11,1554160,
1992-12,1445005,
1993-01,1203679,
1993-02,1415109,
1993-03,1672542,
1993-04,1531811,
1993-05,1278611,
1993-06,1457372,
1993-07,1317005,
1993-08,1485095,
1993-09,1581056,
1993-10,1526370,
1993-11,1444036,
1993-12,1525300,
1994-01,1185389,
1994-02,1283660,
1994-03,1780394,
1994-04,1383860,
1994-05,1595821,
1994-06,1344733,
1994-07,1260360,
1994-08,1449020,
1994-09,1535474,
1994-10,1490166,
1994-11,1508253,
1994-12,1640331,
1995-01,1303156,
1995-02,1464653,
1995-03,1735448,
1995-04,1474078,
1995-05,1551744,
1995-06,1510387,
1995-07,1367920,
1995-08,1441972,
1995-09,1493761,
1995-10,1641539,
1995-11,1745203,
1995-12,1375742,
1996-01,1499730,
1996-02,1452371,
1996-03,1699242,
1996-04,1784145,
1996-05,1429611,
1996-06,1359851,
1996-07,1399664,
1996-08,1277046,
1996-09,1431104,
1996-10,1443033,
1996-11,1481933,
1996-12,1351031,
1997-01,1500221,
1997-02,1480050,
1997-03,1487457,
1997-04,1756334,
1997-05,1429140,
