"",BBK01.OEAA39T,BBK01.OEAA39T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:32,
2002-01,6.858,
2002-04,6.915,
2002-07,6.937,
2002-10,7.040,
2003-01,6.957,
2003-04,7.033,
2003-07,7.057,
2003-10,7.116,
2004-01,7.230,
2004-04,7.252,
2004-07,7.274,
2004-10,7.252,
2005-01,7.921,
2005-04,7.938,
2005-07,7.948,
2005-10,7.927,
2006-01,7.892,
2006-04,7.939,
2006-07,7.997,
2006-10,8.113,
2007-01,8.093,
2007-04,8.179,
2007-07,8.174,
2007-10,8.130,
2008-01,8.042,
2008-04,8.004,
2008-07,8.042,
2008-10,8.019,
2009-01,7.936,
2009-04,8.175,
2009-07,8.176,
2009-10,8.186,
2010-01,8.135,
2010-04,8.165,
2010-07,8.380,
2010-10,8.282,
2011-01,8.338,
2011-04,8.326,
2011-07,8.395,
2011-10,8.411,
2012-01,8.400,
2012-04,8.457,
2012-07,8.511,
2012-10,8.537,
2013-01,8.522,
2013-04,8.567,
2013-07,8.643,
2013-10,8.616,
2014-01,8.622,
2014-04,8.694,
2014-07,8.820,
