"",BBK01.OEAE16G,BBK01.OEAE16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:54,
2002-01,0.814,
2002-04,0.826,
2002-07,0.807,
2002-10,0.890,
2003-01,0.835,
2003-04,0.820,
2003-07,0.743,
2003-10,0.904,
2004-01,0.804,
2004-04,0.852,
2004-07,0.760,
2004-10,0.862,
2005-01,0.848,
2005-04,0.807,
2005-07,0.790,
2005-10,0.871,
2006-01,0.756,
2006-04,0.749,
2006-07,0.743,
2006-10,0.821,
2007-01,0.772,
2007-04,0.772,
2007-07,0.700,
2007-10,0.796,
2008-01,0.752,
2008-04,0.773,
2008-07,0.733,
2008-10,0.873,
2009-01,0.776,
2009-04,0.826,
2009-07,0.782,
2009-10,0.770,
2010-01,0.889,
2010-04,0.940,
2010-07,0.911,
2010-10,0.961,
2011-01,0.949,
2011-04,0.995,
2011-07,0.923,
2011-10,0.977,
2012-01,0.961,
2012-04,0.865,
2012-07,0.781,
2012-10,0.887,
2013-01,0.895,
2013-04,0.861,
2013-07,0.799,
2013-10,0.789,
2014-01,0.759,
2014-04,0.786,
2014-07,0.743,
