"",BBK01.CEBFC0,BBK01.CEBFC0_FLAGS
"",longer-term loans debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:51,
1991-01,275.0,
1991-04,278.0,
1991-07,277.6,
1991-10,282.6,
1992-01,283.3,
1992-04,279.8,
1992-07,279.9,
1992-10,283.0,
1993-01,287.8,
1993-04,292.5,
1993-07,296.5,
1993-10,304.8,
1994-01,323.7,
1994-04,323.5,
1994-07,324.2,
1994-10,333.2,
1995-01,344.4,
1995-04,350.6,
1995-07,378.3,
1995-10,400.9,
1996-01,406.0,
1996-04,403.0,
1996-07,417.2,
1996-10,432.0,
1997-01,427.9,
1997-04,440.2,
1997-07,444.9,
1997-10,448.3,
1998-01,456.3,
1998-04,456.5,
1998-07,454.6,
1998-10,454.0,
1999-01,478.8,
1999-04,477.8,
1999-07,472.8,
1999-10,478.7,
2000-01,480.5,
2000-04,481.7,
2000-07,475.9,
2000-10,463.4,
2001-01,457.4,
2001-04,455.3,
2001-07,452.0,
2001-10,446.5,
2002-01,440.9,
2002-04,436.1,
2002-07,433.3,
2002-10,430.0,
2003-01,427.3,
2003-04,427.6,
2003-07,430.7,
2003-10,436.6,
2004-01,434.9,
2004-04,434.8,
2004-07,437.0,
2004-10,435.0,
2005-01,435.6,
2005-04,429.1,
2005-07,431.7,
2005-10,429.3,
2006-01,425.0,
2006-04,419.6,
2006-07,416.1,
2006-10,418.2,
2007-01,407.3,
2007-04,403.5,
2007-07,399.3,
2007-10,393.7,
2008-01,401.0,
2008-04,402.2,
2008-07,396.7,
2008-10,396.9,
2009-01,394.9,
2009-04,401.6,
2009-07,404.7,
2009-10,407.8,
2010-01,404.2,
2010-04,418.0,
2010-07,419.5,
2010-10,431.2,
2011-01,435.9,
2011-04,431.7,
2011-07,436.0,
2011-10,429.6,
2012-01,445.3,
2012-04,452.8,
2012-07,453.7,
2012-10,459.1,
2013-01,460.3,
2013-04,464.2,
2013-07,463.9,
2013-10,462.3,
2014-01,461.1,
