"",BBK01.OELM04U,BBK01.OELM04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:49,
2002-01,0.014,
2002-04,0.013,
2002-07,0.014,
2002-10,0.014,
2003-01,0.014,
2003-04,0.019,
2003-07,0.018,
2003-10,0.016,
2004-01,0.017,
2004-04,0.026,
2004-07,0.023,
2004-10,0.021,
2005-01,0.028,
2005-04,0.028,
2005-07,0.029,
2005-10,0.042,
2006-01,0.028,
2006-04,0.036,
2006-07,0.026,
2006-10,0.030,
2007-01,0.024,
2007-04,0.029,
2007-07,0.027,
2007-10,0.032,
2008-01,0.032,
2008-04,0.028,
2008-07,0.028,
2008-10,0.028,
2009-01,0.024,
2009-04,0.018,
2009-07,0.016,
2009-10,0.022,
2010-01,0.020,
2010-04,0.012,
2010-07,0.011,
2010-10,0.010,
2011-01,0.017,
2011-04,0.017,
2011-07,0.015,
2011-10,0.017,
2012-01,0.029,
2012-04,0.031,
2012-07,0.029,
2012-10,0.033,
2013-01,0.041,
2013-04,0.031,
2013-07,0.031,
2013-10,0.035,
2014-01,0.043,
2014-04,0.045,
2014-07,0.047,
