"",BBK01.OEXB06L,BBK01.OEXB06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:36,
2002-01,25.860,
2002-04,20.360,
2002-07,19.384,
2002-10,21.126,
2003-01,24.994,
2003-04,20.863,
2003-07,20.340,
2003-10,19.946,
2004-01,25.858,
2004-04,22.655,
2004-07,22.675,
2004-10,20.608,
2005-01,21.990,
2005-04,24.220,
2005-07,26.735,
2005-10,22.560,
2006-01,23.528,
2006-04,21.893,
2006-07,21.225,
2006-10,19.745,
2007-01,20.903,
2007-04,25.215,
2007-07,22.017,
2007-10,24.282,
2008-01,28.354,
2008-04,31.038,
2008-07,35.386,
2008-10,46.515,
2009-01,55.517,
2009-04,48.386,
2009-07,42.540,
2009-10,34.608,
2010-01,28.317,
2010-04,32.670,
2010-07,24.169,
2010-10,22.325,
2011-01,30.597,
2011-04,27.001,
2011-07,28.716,
2011-10,27.217,
2012-01,26.250,
2012-04,26.149,
2012-07,23.735,
2012-10,24.929,
2013-01,24.616,
2013-04,24.610,
2013-07,18.083,
2013-10,17.708,
2014-01,17.814,
2014-04,17.847,
2014-07,17.944,
