"",BBK01.OEYM10V,BBK01.OEYM10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:31,
2002-01,0.048,
2002-04,0.049,
2002-07,0.050,
2002-10,0.049,
2003-01,0.049,
2003-04,0.051,
2003-07,0.053,
2003-10,0.050,
2004-01,0.050,
2004-04,0.050,
2004-07,0.053,
2004-10,0.053,
2005-01,0.053,
2005-04,0.052,
2005-07,0.051,
2005-10,0.051,
2006-01,0.050,
2006-04,0.052,
2006-07,0.053,
2006-10,0.056,
2007-01,0.056,
2007-04,0.058,
2007-07,0.060,
2007-10,0.064,
2008-01,0.067,
2008-04,0.072,
2008-07,0.080,
2008-10,0.096,
2009-01,0.105,
2009-04,0.119,
2009-07,0.137,
2009-10,0.155,
2010-01,0.158,
2010-04,0.160,
2010-07,0.170,
2010-10,0.177,
2011-01,0.181,
2011-04,0.187,
2011-07,0.198,
2011-10,0.212,
2012-01,0.218,
2012-04,0.224,
2012-07,0.241,
2012-10,0.264,
2013-01,0.274,
2013-04,0.284,
2013-07,0.298,
2013-10,0.315,
2014-01,0.319,
2014-04,0.331,
2014-07,0.337,
