"",BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:44,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-9.862,
1993-04,-6.409,
1993-07,-6.409,
1993-10,-7.063,
1994-01,-18.213,
1994-04,-18.213,
1994-07,-20.770,
1994-10,-18.213,
1995-01,30.351,
1995-04,30.452,
1995-07,30.452,
1995-10,30.452,
1996-01,-54.436,
1996-04,-52.313,
1996-07,-52.313,
1996-10,-52.404,
1997-01,-73.371,
1997-04,-74.650,
1997-07,-73.371,
1997-10,-73.371,
1998-01,-4.767,
1998-04,-0.587,
1998-07,-0.010,
1998-10,-1.267,
1999-01,60.000,
1999-04,60.000,
1999-07,60.000,
1999-10,62.990,
2000-01,103.507,
2000-04,102.752,
2000-07,106.696,
2000-10,104.295,
2001-01,29.298,
2001-04,-99.706,
2001-07,-78.227,
2001-10,24.460,
2002-01,54.126,
2002-04,22.411,
2002-07,47.153,
2002-10,53.917,
2003-01,73.707,
2003-04,79.958,
2003-07,85.777,
2003-10,127.380,
2004-01,244.752,
2004-04,181.805,
2004-07,81.906,
2004-10,243.077,
2005-01,299.578,
2005-04,138.417,
2005-07,116.319,
2005-10,184.405,
2006-01,358.991,
2006-04,280.079,
2006-07,301.516,
2006-10,393.445,
2007-01,395.163,
2007-04,312.003,
2007-07,245.795,
2007-10,107.430,
2008-01,210.763,
2008-04,-27.051,
2008-07,-38.929,
2008-10,52.200,
2009-01,128.272,
2009-04,-35.651,
2009-07,32.543,
2009-10,-48.833,
2010-01,313.328,
2010-04,78.472,
2010-07,210.565,
2010-10,274.778,
2011-01,322.056,
2011-04,151.743,
2011-07,121.881,
2011-10,183.873,
2012-01,360.658,
2012-04,-168.848,
2012-07,193.088,
2012-10,302.860,
2013-01,218.676,
2013-04,-62.555,
2013-07,98.541,
2013-10,164.392,
2014-01,216.497,Provisional value
2014-04,95.413,Provisional value
2014-07,192.460,Provisional value
2014-10,161.684,Provisional value
