"",BBK01.OEHI01S,BBK01.OEHI01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:30,
2002-01,14.996,
2002-04,14.956,
2002-07,14.982,
2002-10,15.524,
2003-01,15.245,
2003-04,15.156,
2003-07,15.183,
2003-10,15.701,
2004-01,15.541,
2004-04,15.516,
2004-07,15.568,
2004-10,16.027,
2005-01,15.762,
2005-04,15.845,
2005-07,15.787,
2005-10,16.179,
2006-01,15.888,
2006-04,15.852,
2006-07,15.868,
2006-10,16.313,
2007-01,16.188,
2007-04,16.288,
2007-07,16.413,
2007-10,16.764,
2008-01,16.505,
2008-04,16.684,
2008-07,16.475,
2008-10,16.984,
2009-01,16.929,
2009-04,17.159,
2009-07,17.011,
2009-10,17.609,
2010-01,17.765,
2010-04,18.032,
2010-07,18.296,
2010-10,18.574,
2011-01,18.289,
2011-04,18.506,
2011-07,18.590,
2011-10,18.987,
2012-01,18.764,
2012-04,18.922,
2012-07,19.041,
2012-10,19.484,
2013-01,19.260,
2013-04,19.487,
2013-07,19.759,
2013-10,20.216,
2014-01,20.265,
2014-04,20.515,
2014-07,20.717,
