"",BBK01.OELB05T,BBK01.OELB05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:30,
2002-01,2.199,
2002-04,2.236,
2002-07,2.260,
2002-10,2.243,
2003-01,2.262,
2003-04,2.280,
2003-07,2.287,
2003-10,2.296,
2004-01,2.306,
2004-04,2.320,
2004-07,2.334,
2004-10,2.420,
2005-01,2.394,
2005-04,2.399,
2005-07,2.413,
2005-10,2.412,
2006-01,2.405,
2006-04,2.419,
2006-07,2.437,
2006-10,2.387,
2007-01,2.389,
2007-04,2.404,
2007-07,2.396,
2007-10,2.384,
2008-01,2.382,
2008-04,2.407,
2008-07,2.410,
2008-10,2.426,
2009-01,2.436,
2009-04,2.484,
2009-07,2.534,
2009-10,2.565,
2010-01,2.593,
2010-04,2.644,
2010-07,2.659,
2010-10,2.647,
2011-01,2.673,
2011-04,2.721,
2011-07,2.773,
2011-10,2.780,
2012-01,2.823,
2012-04,3.074,
2012-07,3.095,
2012-10,3.107,
2013-01,3.140,
2013-04,3.148,
2013-07,3.191,
2013-10,3.204,
2014-01,3.222,
2014-04,3.281,
2014-07,3.256,
