"",BBK01.OEHB23G,BBK01.OEHB23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:11,
2002-01,0.107,
2002-04,0.102,
2002-07,0.113,
2002-10,0.121,
2003-01,0.123,
2003-04,0.112,
2003-07,0.112,
2003-10,0.161,
2004-01,0.158,
2004-04,0.160,
2004-07,0.157,
2004-10,0.215,
2005-01,0.241,
2005-04,0.244,
2005-07,0.245,
2005-10,0.292,
2006-01,0.303,
2006-04,0.337,
2006-07,0.342,
2006-10,0.404,
2007-01,0.396,
2007-04,0.451,
2007-07,0.454,
2007-10,0.482,
2008-01,0.485,
2008-04,0.491,
2008-07,0.457,
2008-10,0.411,
2009-01,0.586,
2009-04,0.656,
2009-07,0.739,
2009-10,0.766,
2010-01,0.753,
2010-04,0.698,
2010-07,0.764,
2010-10,0.967,
2011-01,0.844,
2011-04,0.825,
2011-07,0.827,
2011-10,0.842,
2012-01,0.782,
2012-04,0.717,
2012-07,0.763,
2012-10,0.741,
2013-01,0.689,
2013-04,0.664,
2013-07,0.677,
2013-10,0.647,
2014-01,0.617,
2014-04,0.608,
2014-07,0.538,
