"",BBDE1.Q.DE.Y.LCB1.A2N200000.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.A2N200000.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Private sector (B-N) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:17,
1996-01,76.488,
1996-04,77.033,
1996-07,77.874,
1996-10,79.577,
1997-01,79.575,
1997-04,77.714,
1997-07,78.586,
1997-10,79.537,
1998-01,79.294,
1998-04,79.752,
1998-07,80.064,
1998-10,80.334,
1999-01,81.016,
1999-04,81.762,
1999-07,82.248,
1999-10,81.989,
2000-01,82.445,
2000-04,84.116,
2000-07,84.655,
2000-10,85.267,
2001-01,85.257,
2001-04,86.255,
2001-07,86.875,
2001-10,87.487,
2002-01,87.850,
2002-04,87.587,
2002-07,89.036,
2002-10,89.783,
2003-01,90.542,
2003-04,90.712,
2003-07,90.768,
2003-10,91.005,
2004-01,91.993,
2004-04,91.786,
2004-07,91.336,
2004-10,91.690,
2005-01,93.593,
2005-04,92.097,
2005-07,93.365,
2005-10,93.730,
2006-01,93.998,
2006-04,94.972,
2006-07,95.627,
2006-10,95.499,
2007-01,95.221,
2007-04,96.977,
2007-07,97.489,
2007-10,98.607,
2008-01,99.812,
2008-04,97.826,
2008-07,99.553,
2008-10,102.809,
2009-01,102.313,
2009-04,101.720,
2009-07,102.130,
2009-10,101.505,
2010-01,102.813,
2010-04,101.991,
2010-07,102.553,
2010-10,102.912,
2011-01,104.564,
2011-04,105.849,
2011-07,105.946,
2011-10,106.863,
2012-01,107.058,
2012-04,110.101,
2012-07,110.135,
2012-10,110.846,
2013-01,110.694,
2013-04,110.721,
2013-07,110.472,
2013-10,112.014,
2014-01,111.909,
2014-04,112.746,
2014-07,112.624,
