"",BBK01.OELI03S,BBK01.OELI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:42,
2002-01,0.482,
2002-04,0.471,
2002-07,0.476,
2002-10,0.484,
2003-01,0.452,
2003-04,0.433,
2003-07,0.415,
2003-10,0.414,
2004-01,0.410,
2004-04,0.385,
2004-07,0.377,
2004-10,0.383,
2005-01,0.380,
2005-04,0.340,
2005-07,0.351,
2005-10,0.358,
2006-01,0.358,
2006-04,0.350,
2006-07,0.342,
2006-10,0.365,
2007-01,0.328,
2007-04,0.324,
2007-07,0.325,
2007-10,0.363,
2008-01,0.370,
2008-04,0.378,
2008-07,0.402,
2008-10,0.455,
2009-01,0.461,
2009-04,0.416,
2009-07,0.361,
2009-10,0.324,
2010-01,0.301,
2010-04,0.296,
2010-07,0.282,
2010-10,0.288,
2011-01,0.327,
2011-04,0.317,
2011-07,0.284,
2011-10,0.365,
2012-01,0.354,
2012-04,0.365,
2012-07,0.311,
2012-10,0.276,
2013-01,0.293,
2013-04,0.239,
2013-07,0.217,
2013-10,0.227,
2014-01,0.264,
2014-04,0.277,
2014-07,0.281,
