"",BBK01.OEAF31U,BBK01.OEAF31U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:26,
2002-01,6.748,
2002-04,6.798,
2002-07,6.856,
2002-10,7.019,
2003-01,7.021,
2003-04,7.095,
2003-07,7.185,
2003-10,7.264,
2004-01,7.281,
2004-04,7.258,
2004-07,7.306,
2004-10,7.392,
2005-01,7.748,
2005-04,7.718,
2005-07,7.881,
2005-10,7.827,
2006-01,7.799,
2006-04,7.850,
2006-07,7.915,
2006-10,7.918,
2007-01,7.858,
2007-04,7.863,
2007-07,7.830,
2007-10,7.908,
2008-01,7.601,
2008-04,7.519,
2008-07,7.507,
2008-10,7.478,
2009-01,7.430,
2009-04,7.874,
2009-07,8.035,
2009-10,8.025,
2010-01,7.999,
2010-04,8.018,
2010-07,8.029,
2010-10,8.017,
2011-01,8.033,
2011-04,8.051,
2011-07,8.101,
2011-10,8.115,
2012-01,8.100,
2012-04,8.188,
2012-07,8.284,
2012-10,8.309,
2013-01,8.341,
2013-04,8.436,
2013-07,8.566,
2013-10,8.650,
2014-01,8.709,
2014-04,8.733,
2014-07,8.825,
