"",BBFB1.Q.N.DE.I7.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:49,
1991-01,11208.420,
1991-04,1858.878,
1991-07,5540.625,
1991-10,5549.035,
1992-01,7129.452,
1992-04,5855.979,
1992-07,16237.414,
1992-10,16000.911,
1993-01,20513.695,
1993-04,13848.750,
1993-07,7712.437,
1993-10,4103.636,
1994-01,823.021,
1994-04,2320.852,
1994-07,12157.797,
1994-10,23235.840,
1995-01,14878.257,
1995-04,2857.122,
1995-07,2814.269,
1995-10,8579.992,
1996-01,12755.892,
1996-04,1371.237,
1996-07,-351.477,
1996-10,14460.128,
1997-01,20913.129,
1997-04,18590.891,
1997-07,-3397.778,
1997-10,369.934,
1998-01,28454.178,
1998-04,28202.433,
1998-07,5364.376,
1998-10,21652.804,
1999-01,39688.060,
1999-04,22439.004,
1999-07,13436.141,
1999-10,20115.579,
2000-01,-27245.352,
2000-04,21837.755,
2000-07,18126.816,
2000-10,88445.710,
2001-01,-5723.050,
2001-04,-16680.865,
2001-07,-14989.351,
2001-10,-3715.276,
2002-01,-20025.526,
2002-04,-201.650,
2002-07,-29365.055,
2002-10,-65523.943,
2003-01,-16226.805,
2003-04,-33427.450,
2003-07,-44663.129,
2003-10,-66975.713,
2004-01,-74522.942,
2004-04,-43109.656,
2004-07,-35840.509,
2004-10,-62622.379,
2005-01,-18990.299,
2005-04,-49933.034,
2005-07,-72582.685,
2005-10,-11059.603,
2006-01,-34380.383,
2006-04,-43485.338,
2006-07,-24789.128,
2006-10,-15649.790,
2007-01,-36668.805,
2007-04,16756.452,
2007-07,-1668.231,
2007-10,-44413.686,
2008-01,-28138.823,
2008-04,-103242.272,
2008-07,-97238.424,
2008-10,-182683.878,
2009-01,-121607.608,
2009-04,-89924.264,
2009-07,-111187.976,
2009-10,-99257.089,
2010-01,-99257.641,
2010-04,-95305.933,
2010-07,-53612.100,
2010-10,-66344.536,
2011-01,-105350.920,
2011-04,-100089.467,
2011-07,-111789.824,
2011-10,-168566.134,
2012-01,-143814.103,
2012-04,-108837.629,
2012-07,-134294.408,
2012-10,-70058.762,
2013-01,-126048.488,
2013-04,-98048.468,
2013-07,-149915.483,
2013-10,-165898.490,
2014-01,-113530.318,Provisional value
2014-04,-84352.626,Provisional value
2014-07,-142763.252,Provisional value
2014-10,-153399.165,Provisional value
