"",BBK01.OELB10I,BBK01.OELB10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:31,
2002-01,1.187,
2002-04,1.040,
2002-07,1.267,
2002-10,0.883,
2003-01,0.896,
2003-04,0.996,
2003-07,0.898,
2003-10,0.745,
2004-01,0.888,
2004-04,1.073,
2004-07,0.895,
2004-10,0.731,
2005-01,0.874,
2005-04,0.813,
2005-07,0.866,
2005-10,0.653,
2006-01,0.682,
2006-04,0.637,
2006-07,0.588,
2006-10,0.565,
2007-01,0.612,
2007-04,0.548,
2007-07,0.518,
2007-10,0.440,
2008-01,0.477,
2008-04,0.457,
2008-07,0.488,
2008-10,0.455,
2009-01,0.479,
2009-04,0.445,
2009-07,0.442,
2009-10,0.385,
2010-01,0.402,
2010-04,0.384,
2010-07,0.408,
2010-10,0.388,
2011-01,0.411,
2011-04,0.414,
2011-07,0.391,
2011-10,0.435,
2012-01,0.437,
2012-04,0.424,
2012-07,0.485,
2012-10,0.426,
2013-01,0.412,
2013-04,0.421,
2013-07,0.432,
2013-10,0.397,
2014-01,0.481,
2014-04,0.428,
2014-07,0.423,
