"",BBK01.OEXB11O,BBK01.OEXB11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:12,
2002-01,-0.217,
2002-04,-0.222,
2002-07,-0.241,
2002-10,-0.111,
2003-01,-0.265,
2003-04,-0.188,
2003-07,-0.240,
2003-10,-0.232,
2004-01,-0.251,
2004-04,-0.264,
2004-07,-0.251,
2004-10,-0.860,
2005-01,0.202,
2005-04,0.199,
2005-07,0.190,
2005-10,0.202,
2006-01,0.199,
2006-04,0.193,
2006-07,0.196,
2006-10,0.227,
2007-01,0.234,
2007-04,0.246,
2007-07,0.250,
2007-10,0.281,
2008-01,0.287,
2008-04,0.297,
2008-07,0.271,
2008-10,0.261,
2009-01,0.253,
2009-04,0.541,
2009-07,0.502,
2009-10,0.492,
2010-01,0.269,
2010-04,0.273,
2010-07,0.383,
2010-10,0.388,
2011-01,0.325,
2011-04,0.330,
2011-07,0.312,
2011-10,0.304,
2012-01,0.305,
2012-04,0.310,
2012-07,0.299,
2012-10,0.312,
2013-01,0.302,
2013-04,0.291,
2013-07,0.295,
2013-10,0.294,
2014-01,0.293,
2014-04,0.295,
2014-07,0.313,
