"",BBK01.OEXB04T,BBK01.OEXB04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:11,
2002-01,3.739,
2002-04,3.779,
2002-07,3.838,
2002-10,3.912,
2003-01,3.936,
2003-04,3.971,
2003-07,3.994,
2003-10,4.094,
2004-01,4.104,
2004-04,4.128,
2004-07,4.153,
2004-10,4.010,
2005-01,4.018,
2005-04,4.063,
2005-07,4.061,
2005-10,4.045,
2006-01,4.049,
2006-04,4.114,
2006-07,4.163,
2006-10,4.246,
2007-01,4.305,
2007-04,4.382,
2007-07,4.451,
2007-10,4.505,
2008-01,4.449,
2008-04,4.462,
2008-07,4.495,
2008-10,4.604,
2009-01,4.652,
2009-04,4.735,
2009-07,4.802,
2009-10,4.978,
2010-01,5.000,
2010-04,4.994,
2010-07,5.164,
2010-10,5.284,
2011-01,5.361,
2011-04,5.437,
2011-07,5.655,
2011-10,5.825,
2012-01,5.918,
2012-04,6.027,
2012-07,6.174,
2012-10,6.234,
2013-01,6.326,
2013-04,6.305,
2013-07,6.363,
2013-10,6.377,
2014-01,6.306,
2014-04,6.298,
2014-07,6.318,
