"",BBK01.OEAN07K,BBK01.OEAN07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:57,
2002-01,0.121,
2002-04,0.116,
2002-07,0.194,
2002-10,0.197,
2003-01,0.152,
2003-04,0.148,
2003-07,0.141,
2003-10,0.140,
2004-01,0.116,
2004-04,0.120,
2004-07,0.115,
2004-10,0.120,
2005-01,0.111,
2005-04,0.110,
2005-07,0.110,
2005-10,0.101,
2006-01,0.094,
2006-04,0.094,
2006-07,0.089,
2006-10,0.087,
2007-01,0.080,
2007-04,0.075,
2007-07,0.075,
2007-10,0.069,
2008-01,0.060,
2008-04,0.060,
2008-07,0.059,
2008-10,0.059,
2009-01,0.052,
2009-04,0.049,
2009-07,0.050,
2009-10,0.047,
2010-01,0.048,
2010-04,0.061,
2010-07,0.070,
2010-10,0.068,
2011-01,0.065,
2011-04,0.063,
2011-07,0.062,
2011-10,0.056,
2012-01,0.050,
2012-04,0.041,
2012-07,0.036,
2012-10,0.040,
2013-01,0.036,
2013-04,0.040,
2013-07,0.034,
2013-10,0.038,
2014-01,0.038,
2014-04,0.043,
2014-07,0.044,
