"",BBK01.OEHB17S,BBK01.OEHB17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:16,
2002-01,3.227,
2002-04,3.271,
2002-07,3.331,
2002-10,3.353,
2003-01,3.357,
2003-04,3.390,
2003-07,3.435,
2003-10,3.451,
2004-01,3.413,
2004-04,3.435,
2004-07,3.447,
2004-10,3.459,
2005-01,3.404,
2005-04,3.407,
2005-07,3.408,
2005-10,3.392,
2006-01,3.343,
2006-04,3.353,
2006-07,3.355,
2006-10,3.340,
2007-01,3.285,
2007-04,3.273,
2007-07,3.251,
2007-10,3.208,
2008-01,3.165,
2008-04,3.162,
2008-07,3.159,
2008-10,3.119,
2009-01,3.093,
2009-04,3.104,
2009-07,3.118,
2009-10,3.127,
2010-01,3.120,
2010-04,3.165,
2010-07,3.285,
2010-10,3.280,
2011-01,3.300,
2011-04,3.344,
2011-07,3.398,
2011-10,3.432,
2012-01,3.453,
2012-04,3.521,
2012-07,3.594,
2012-10,3.660,
2013-01,3.698,
2013-04,3.785,
2013-07,3.890,
2013-10,3.960,
2014-01,4.006,
2014-04,4.105,
2014-07,4.228,
