"",BBSF2.M.1.T.00000.REN01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.REN01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Funds total / Bonds funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:26,
2009-09,406,
2009-10,381,
2009-11,453,
2009-12,489,
2010-01,724,
2010-02,403,
2010-03,209,
2010-04,216,
2010-05,673,
2010-06,693,
2010-07,539,
2010-08,357,
2010-09,390,
2010-10,323,
2010-11,343,
2010-12,377,
2011-01,417,
2011-02,806,
2011-03,332,
2011-04,345,
2011-05,311,
2011-06,270,
2011-07,351,
2011-08,299,
2011-09,268,
2011-10,226,
2011-11,587,
2011-12,335,
2012-01,308,
2012-02,293,
2012-03,243,
2012-04,239,
2012-05,280,
2012-06,285,
2012-07,387,
2012-08,266,
2012-09,193,
2012-10,193,
2012-11,110,
2012-12,109,
2013-01,215,
2013-02,277,
2013-03,195,
2013-04,232,
2013-05,306,
2013-06,517,
2013-07,710,
2013-08,734,
2013-09,766,
2013-10,1290,
2013-11,888,
2013-12,711,
2014-01,769,
2014-02,684,
2014-03,709,
2014-04,849,
2014-05,1361,
2014-06,1190,
2014-07,1181,
2014-08,1102,
2014-09,969,
2014-10,618,
2014-11,478,
