"",BBK01.OEXI05M,BBK01.OEXI05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:56,
2002-01,1.894,
2002-04,1.874,
2002-07,1.890,
2002-10,1.748,
2003-01,2.507,
2003-04,2.500,
2003-07,2.445,
2003-10,2.440,
2004-01,2.547,
2004-04,3.194,
2004-07,3.410,
2004-10,3.434,
2005-01,3.445,
2005-04,3.282,
2005-07,2.706,
2005-10,2.037,
2006-01,2.054,
2006-04,2.040,
2006-07,2.050,
2006-10,1.779,
2007-01,1.768,
2007-04,1.723,
2007-07,2.045,
2007-10,2.047,
2008-01,2.123,
2008-04,2.538,
2008-07,2.098,
2008-10,4.912,
2009-01,4.802,
2009-04,4.962,
2009-07,4.715,
2009-10,4.700,
2010-01,4.443,
2010-04,4.186,
2010-07,4.187,
2010-10,5.016,
2011-01,4.633,
2011-04,4.374,
2011-07,5.033,
2011-10,5.704,
2012-01,5.299,
2012-04,6.656,
2012-07,6.280,
2012-10,6.837,
2013-01,6.327,
2013-04,7.908,
2013-07,7.345,
2013-10,6.718,
2014-01,6.135,
2014-04,8.494,
2014-07,7.711,
