"",BBK01.OEAF33U,BBK01.OEAF33U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:26,
2002-01,5.397,
2002-04,5.431,
2002-07,5.489,
2002-10,5.531,
2003-01,5.518,
2003-04,5.559,
2003-07,5.543,
2003-10,5.450,
2004-01,5.350,
2004-04,5.535,
2004-07,5.565,
2004-10,5.655,
2005-01,6.090,
2005-04,6.129,
2005-07,6.179,
2005-10,6.123,
2006-01,6.088,
2006-04,6.122,
2006-07,6.156,
2006-10,6.190,
2007-01,6.188,
2007-04,6.227,
2007-07,6.244,
2007-10,6.360,
2008-01,6.088,
2008-04,6.003,
2008-07,6.004,
2008-10,5.994,
2009-01,5.943,
2009-04,6.385,
2009-07,6.442,
2009-10,6.192,
2010-01,6.424,
2010-04,6.452,
2010-07,6.484,
2010-10,6.490,
2011-01,6.482,
2011-04,6.505,
2011-07,6.549,
2011-10,6.576,
2012-01,6.570,
2012-04,6.659,
2012-07,6.764,
2012-10,6.828,
2013-01,6.869,
2013-04,6.943,
2013-07,7.058,
2013-10,7.138,
2014-01,7.172,
2014-04,7.183,
2014-07,7.309,
