"",BBK01.OEAE05T,BBK01.OEAE05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:03,
2002-01,0.343,
2002-04,0.341,
2002-07,0.334,
2002-10,0.338,
2003-01,0.336,
2003-04,0.335,
2003-07,0.330,
2003-10,0.325,
2004-01,0.312,
2004-04,0.306,
2004-07,0.297,
2004-10,0.305,
2005-01,0.299,
2005-04,0.295,
2005-07,0.291,
2005-10,0.288,
2006-01,0.284,
2006-04,0.278,
2006-07,0.258,
2006-10,0.253,
2007-01,0.242,
2007-04,0.250,
2007-07,0.248,
2007-10,0.238,
2008-01,0.241,
2008-04,0.234,
2008-07,0.231,
2008-10,0.232,
2009-01,0.233,
2009-04,0.228,
2009-07,0.225,
2009-10,0.216,
2010-01,0.221,
2010-04,0.223,
2010-07,0.226,
2010-10,0.235,
2011-01,0.242,
2011-04,0.244,
2011-07,0.235,
2011-10,0.236,
2012-01,0.239,
2012-04,0.241,
2012-07,0.242,
2012-10,0.243,
2013-01,0.248,
2013-04,0.248,
2013-07,0.242,
2013-10,0.241,
2014-01,0.244,
2014-04,0.248,
2014-07,0.243,
