"",BBK01.CEBD2Q,BBK01.CEBD2Q_FLAGS
"",Currency and transferable deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:24,
1991-01,341.0,
1991-04,357.1,
1991-07,340.9,
1991-10,370.6,
1992-01,343.7,
1992-04,353.4,
1992-07,358.4,
1992-10,389.4,
1993-01,366.7,
1993-04,385.2,
1993-07,393.4,
1993-10,438.6,
1994-01,411.6,
1994-04,425.2,
1994-07,426.1,
1994-10,461.8,
1995-01,423.3,
1995-04,436.9,
1995-07,441.5,
1995-10,488.9,
1996-01,466.5,
1996-04,492.4,
1996-07,492.9,
1996-10,565.1,
1997-01,546.7,
1997-04,568.1,
1997-07,563.6,
1997-10,616.6,
1998-01,612.6,
1998-04,649.1,
1998-07,627.1,
1998-10,716.1,
1999-01,643.1,
1999-04,663.6,
1999-07,654.6,
1999-10,638.3,
2000-01,711.4,
2000-04,714.0,
2000-07,710.2,
2000-10,720.8,
2001-01,769.7,
2001-04,778.0,
2001-07,771.6,
2001-10,727.9,
2002-01,746.0,
2002-04,804.6,
2002-07,825.7,
2002-10,836.2,
2003-01,886.7,
2003-04,940.7,
2003-07,947.1,
2003-10,914.8,
2004-01,1000.9,
2004-04,1013.7,
2004-07,1031.6,
2004-10,968.0,
2005-01,1091.3,
2005-04,1131.2,
2005-07,1138.2,
2005-10,1109.4,
2006-01,1178.4,
2006-04,1233.9,
2006-07,1220.7,
2006-10,1248.3,
2007-01,1289.2,
2007-04,1348.8,
2007-07,1360.5,
2007-10,1309.4,
2008-01,1413.4,
2008-04,1428.6,
2008-07,1466.2,
2008-10,1479.5,
2009-01,1627.3,
2009-04,1665.1,
2009-07,1664.2,
2009-10,1679.2,
2010-01,1766.5,
2010-04,1889.5,
2010-07,1840.0,
2010-10,1804.0,
2011-01,1823.5,
2011-04,1851.2,
2011-07,1963.4,
2011-10,1945.1,
2012-01,2085.0,
2012-04,2198.7,
2012-07,2277.6,
2012-10,2265.6,
2013-01,2235.2,
2013-04,2276.4,
2013-07,2296.0,
2013-10,2273.4,
2014-01,2308.0,
